Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils
61080S,Royal School Cavan,http://www.royalschoolcavan.ie/,College Street,Cavan,Co. Cavan,,Cavan,H12AY10,494361605,info@royalschoolcavan.ie,MR. EDWARD LINDSAY,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,99,119,218
70350W,St Bricin's College,https://www.stbricinscollege.ie/,Belturbet,Co Cavan,,,Cavan,H14P896,499522170,info@stbricinscollege.ie,Mary Sheridan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,103,118,221
70360C,St. Mogue's College,http://www.stmoguescollege.ie/ http://www.stmoguescollege.ie/,Bawnboy,Belturbet,Co Cavan,,Cavan,H14VW13,499523112,info@stmoguescollege.ie,Ann Conaghan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,104,121,225
70380I,Breifne College,https://www.breifnecollege.ie/,Cootehill Rd,Cavan,Co Cavan,,Cavan,H12H798,494331735,info@breifnecollege.ie,Mr John Crotty,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,330,346,676
70390L,Virginia College,https://www.virginiacollege.ie/,Virginia,Co Cavan,,,Cavan,A82X224,498547050,anndoughty@virginiacollege.ie,Karen Fitzpatrick,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,268,365,633
76313A,Dún na Rí College,https://www.dunanricollege.ie/index.php,Main Street,Kingscourt,Co Cavan,,Cavan,,,info@dunanricollege.ie,MR. FERGAL BOYLE,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,83,81,164
81005Q,St Aidans Comprehensive School,http://www.staidans.ie/,Cootehill,Co Cavan,,,Cavan,H16CV91,495552161,office@staidans.ie,MISS MARY ANN SMITH,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,255,259,514
91351S,Bailieborough Community School,http://www.bailieborocs.ie/,Bailieborough,Co Cavan,,,Cavan,A82P585,429665295,info@bailieborocs.ie,MRS. MARTHA LIEVENS,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,311,318,629
61910K,Rice College,http://ricecollege.ie/,New Road,Ennis,Co Clare,,Clare,V95FV10,656822105,admin@ricecollege.ie,MR. LOUIS MULQUEEN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,253,410,663
61920N,St Flannan's College,https://www.stflannanscollege.ie/,Ennis,Co Clare,,,Clare,V95Y102,656828019,ignstius.mccormack@stflannanscollege.ie,REV. IGNATIUS MC CORMACK,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,379,802,"1,181"
61930Q,Coláiste Mhuire,https://www.colaistemuire.ie/,College Road,Ennis,Co Clare,,Clare,V95X683,656829497,admin@colaistemuire.ie,MISS JEAN A POUND,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,956,,956
61940T,Meánscoil Na mBráithre,https://cbsennistymon.com/,Ennistymon,Co. Clare,,,Clare,V95W880,657071349,principal@cbsennistymon.com,Mary Lyons,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,221,221
61950W,Scoil Mhuire,http://scoil-mhuire.ie/,Ennistymon,Co Clare,,,Clare,V95AK18,657071224,admin@scoil-mhuire.ie,MRS. JOSEPHINE DONNELLAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,244,,244
62000W,Mary Immaculate Secondary School,https://www.maryimmaculate.ie/,Lisdoonvarna,Co Clare,,,Clare,V95R2AW,657074266,info@maryimmaculate.ie,MR. JOHN O'LOUGHLIN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,113,99,212
62010C,St. Joseph's Secondary School,http://www.stjosephsspanishpoint.com/,Spanish Point,Miltown Malbay,Co Clare,,Clare,V95NW01,657084311,admin@stjosephsspanishpoint.com,MS. MARY CRAWFORD,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,137,158,295
62020F,St. Joseph's Secondary School,https://www.sjt.ie/newwebsite/,Tulla,Co. Clare,,,Clare,V95A248,656835113,admin@sjt.ie,MS. JULIET COMAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,263,286,549
70830N,Ennis Community College,http://enniscommunitycollege.com/,Ennis,Co Clare,,,Clare,V95XD66,656829432,info@enniscc.ie,Brian O Sullivan,Y,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,182,212,394
70840Q,Ennistymon Vocational School,http://www.ennistymonvs.com ,Ennistymon,Ennis,Co Clare,,Clare,V95P991,657071375,envoc.ias@tinet.ie,Elizabeth Flanagan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,89,149,238
70860W,St Michael's Community College,,Kilmihill,Co Clare,,,Clare,V15TD30,659050021,stmichaels@kilmihilcc.com,Ms Helena Keane,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,133,85,218
70880F,St Joseph's Community College,,Carrigholt Rd.,Kilkee,Co. Clare,,Clare,V15EK83,659056446,kkeecomcoll.ias@eircom.net,Ms Theresa O'Donnellan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,63,65,128
70900I,Scariff Community College,http://www.scariffcommunitycollege.ie/,Scariff,Co Clare,,,Clare,V94Y9W2,61921083,scc@lcetb.ie,Ms Angela McNamara,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,219,187,406
70901K,St Anne's Community College,http://killaloecc.ie/,Killaloe,Co Clare,,,Clare,V94HP60,61376257,noreen.buckley@lcetb.ie,Ms Aideen Walsh,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,299,250,549
76075K,St John Bosco Community College,http://www.kildysartcc.com/,Cahercon,Kildysart,Co Clare,,Clare,V95TXF1,656832300,denis.orourke@lcetb.ie,Denis O'Rourke,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,105,96,201
81007U,Shannon Comprehensive School,http://www.stpatrickscomprehensive.ie/,Shannon,Co Clare,,,Clare,V14Y434,61361428,info@scnp.ie,MR. MORGAN HEAPHY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,299,297,596
91447I,St Caimin's Community School,http://www.saintcaimins.ie/,Tullyvarraga,Shannon,,,Clare,V14XY54,61364211,stcaimins.ias@tinet.ie,MISS CLAIRE KNIGHT,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,354,368,722
91448K,Kilrush Community School,http://kilrushcoms.com/,Kilrush,Co Clare,,,Clare,V15KT04,659051359,posh@kilrushcoms.com,MR. ROCK KIRWAN,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,210,236,446
62050O,Árdscoil Uí Urmoltaigh,https://hamiltonhighschool.ie/,Droichead na Bandan,Co Chorcaí,,,Cork,P72C983,238844227,hhsbandon@gmail.com,Eugene O'Brien,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,385,385
62060R,Bandon Grammar School,http://www.bandongrammar.ie/,Bandon,Co Cork,,,Cork,P72FD36,238841713,office@bgsmail.ie,MR. IAN COOMBES,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,327,348,675
62061T,Coláiste Na Toirbhirte,http://www.presbandon.ie/,Árd Aoibhinn,Bandon,Co Cork,,Cork,P72FW28,238841814,,MS. MARY C O'DONOVAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,525,,525
62090D,Scoil Mhuire gan Smal,https://www.smgsblarney.ie/,Blarney,Co Cork,,,Cork,T23WP23,214385331,marysmgs@eircom.net,MR. PADRAIG SHEEHAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,360,402,762
62130M,Coláiste An Chroí Naofa,http://www.colaisteanchroinaofa.com/,Carraig na bhFear,Co Chorcaí,,,Cork,T34RX93,214884104,info@ccn.ie,MR. COLM MICHEAL O'CORCORA,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,237,308,545
62140P,St Aloysius College,https://ie.ratemyteachers.com/st-aloysius-college-carrigtwohill/5157-s,Carrigtwohill,Co Cork,,,Cork,T45CF61,214883341,admin@saintals.ie,MR. SEAN FRANCIS TWOMEY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,779,,779
62170B,Sacred Heart Secondary School,https://www.sacredheartclonakilty.ie/,Convent of Mercy,Clonakilty,Co. Cork,,Cork,P85K651,238833737,sacredheart@eircom.net,MISS ANN M BROSNAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,545,,545
62180E,Coláiste Muire,http://www.colaistemuire.com/,Bishop's St,Cobh,Co Cork,,Cork,P24EW42,214813800,cmuirecobh@eircom.net,MR. FERGUS O'BRIEN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,304,344,648
62200H,Colaiste Muire,http://colaistemuire.net/,Crosshaven,Co. Cork,,,Cork,P43HC98,214831604,admin@colaistemuire.net,MR. DONAL O'BRIEN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,297,230,527
62210K,Nagle Rice Secondary School,http://www.nrss.ie/,Doneraile,Co. Cork,,,Cork,P51NH96,2224500,principal@nrss.ie,MS. BRID LYSAGHT,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,83,96,179
62260C,Coláiste Cholmáin,http://www.stcolmanscollege.com/,Mainistir Fhearmuí,Co Chorcai,,,Cork,P61A563,2531930,stcolmansfermoy@eircom.net,MRS. VERONICA MARTHA O'DONOGHUE,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,461,461
62270F,Loreto Secondary School,http://www.loretofermoy.ie/,Fermoy,Co Cork,,,Cork,P61HA21,2532124,principal@loretofermoy.ie,MRS. MARIE RING,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,606,,606
62290L,Scoil Mhuire,http://www.scoilmhuirekanturk.ie/,Kanturk,Co Cork,,,Cork,P51XK81,2950807,mercyedkanturk@eircom.net,MS. MIRIAM DOWNEY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,149,121,270
62301N,Colaiste An Phiarsaigh,http://www.colaisteanphiarsaigh.ie/,Gleann Maghair,Corcaigh,,,Cork,T45HC86,214821955,colanphiarsaigh@eircom.net,MR. MICHAEL O' TUAMA,N,Mixed,Mixed,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,283,257,540
62310O,De La Salle College,http://www.dlsmacroom.ie/,Macroom,Co Cork,,,Cork,P12X409,2641832,secdls@eircom.net,MR. JOHN PIUS MURPHY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,1,327,328
62320R,St Mary'S Secondary School,http://www.stmarysmacroom.ie/,Convent Of Mercy,Macroom,Co. Cork,,Cork,P12RH67,2641544,adminstmarys@eircom.net,MR. CIARAN COOKE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,273,,273
62330U,Patrician Academy,http://www.patricianacademy.com/,Mallow,Co Cork,,,Cork,P51YK80,2221884,principal@patricianacademy.com,MISS CATHERINE FITZPATRICK,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,504,504
62350D,St Mary's Secondary School,http://stmarysmallow.com/,Convent Of Mercy,Mallow,Co Cork,,Cork,P51PY04,2221998,info@stmarysmallow.com,MS. YVONNE BANE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,638,,638
62360G,Christian Brothers Secondary School,http://www.midletoncbs.ie/,Castleredmond,Midleton,Co Cork,,Cork,P25C951,214631555,office@midletoncbs.ie,MR. MAURICE KEOHANE,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,717,717
62370J,Midleton College,http://www.midletoncollege.ie/,Midleton,Co Cork,,,Cork,P25F898,214631146,info@midletoncollege.ie,MR. EDWARD GASH,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,195,214,409
62380M,St Mary's High School,,Midleton,Co Cork,,,Cork,P25XC57,214631973,midletonstmarys@gmail.com,UAS. DONNACHA O'BRIAIN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,651,,651
62420V,Christian Brothers Secondary School,http://www.cbsmitchelstown.ie/,Mitchelstown,Co Cork,,,Cork,P67XF64,2524104,cbssecmtown@gmail.com,MS. MARY HANNON,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,311,311
62421A,Presentation Secondary School,http://presmitchelstown.ie/,Mitchelstown,Co Cork,,,Cork,P67RC65,2524394,pressecmtown@gmail.com,MS. LORRAINE O'KEEFFE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,276,,276
62440E,Scoil na mBráithre Chríostaí,http://www.charlevillecbs.com/,Bakers Road,Charleville,Co Cork,,Cork,P56RX94,6381789,charlevillecbs@gmail.com,MS. UNA GRIFFIN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,340,340
62450H,St. Mary's Secondary School,http://stmaryscharleville.ie/,Convent Of Mercy,Charleville,Co Cork,,Cork,P56C672,6381877,admin@stmaryscharleville.org,MRS. GILLIAN O'CALLAGHAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,382,,382
62460K,St Francis Capuchin College,http://www.scoilmhuirekanturk.ie/,Rochestown,Co Cork,,,Cork,T12TK82,214891417,rococoll.ias@eircom.net,MR. DERMOT O'MAHONY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,680,680
62470N,Mount St Michael,http://www.mtsm.ie/,Rosscarbery,Co Cork,,,Cork,P85DY26,238848114,info@mtsm.ie,MR. BART KERRISK,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,163,177,340
62520C,Christian Brothers College,http://www.cbccork.ie/,Sidney Hill,Wellington Road,Cork.,,Cork,T23FY09,214501653,enquire@cbccork.ie,DR. LAURENCE A JORDAN,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,914,914
62530F,North Monastery Secondary School,http://northmonastery.ie/,Our Lady's Mount,North Monastery Rd.,Cork,,Cork,T23P825,214301318,northmonastery.ias@eircom.net,MRS. GRACE O'SULLIVAN,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,404,404
62531H,Gaelcholáiste Mhuire,http://www.gaelcholaistemhuireag.ie/,An Mhainistir Thuaidh,Corcaigh,,,Cork,T23WN77,214307579,info@gcm.ie,MR. DONAL O'BUACHALLA,Y,Mixed,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,224,311,535
62540I,Deerpark C.B.S.,http://deerparkcbs.ie/,St Patrick's Road,Cork,,,Cork,T12XT96,214962025,info@deerparkcbs.ie,MR. KEVIN BARRY,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,263,263
62560O,Coláiste Chríost Rí,http://www.ccrcork.com/,Capwell Road,Cork,,,Cork,T12YF83,214274904,info@ccrcork.com,MR. MICHAEL CAREY,N,Boys,Day,Some pupils taught some subjects through Irish,N,N,CATHOLIC,Open,,616,616
62570R,Presentation Brothers College,https://www.pbc-cork.ie/,The Mardyke,Cork,,,Cork,T12VK49,214272743,info@pbc-cork.ie,MR. DAVID BARRY,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,718,718
62580U,Coláiste An Spioraid Naoimh,http://csncork.ie/,Bishopstown,Cork,,,Cork,T12C938,214543790,csnoffice@eircom.net,UAS. MICHEAL O SEASNAIN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,691,691
62590A,St Vincent's Secondary School,http://www.stvincentscork.com/,St Mary's Road,Cork,,,Cork,T23NH01,214307730,info@stvincentscork.com,MS. KATHERINE BULMAN,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,235,,235
62621I,North Presentation Secondary School,http://northpres.ie/,Farranree,Cork,,,Cork,T23WD99,214303330,info@northpres.ie,MR. JEREMIAH CROWLEY,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,245,,245
62630J,St Aloysius School,http://stalscork.com/,St Maries Of The Isle,Sharman Crawford Street,Cork,,Cork,T12RK03,214316017,msdaly@stalscork.com,MS. RICHEL LONG,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,316,,316
62640M,St. Angela's College,http://stangelascollege.ie/,St Patrick's Hill,Cork,,,Cork,T23FXY8,214500059,sac.cork@gmail.com,MR. PATRICK CURRAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,555,,555
62650P,Ursuline Secondary School,http://www.ursulinecork.com/,Blackrock,Cork,,,Cork,T12HR04,214358012,ursulineschool@gmail.com,MRS. LUCY LAMBE,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,220,,220
62661U,Mount Mercy College,http://www.mountmercy.ie/,Model Farm Road,Cork,,,Cork,T12AD60,214542366,admin@mountmercy.ie,MS. PATRICIA RYAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,821,,821
62690E,Scoil Mhuire,http://scoilmhuirecork.ie/,2 Sidney Place,Wellington Road,Cork,,Cork,T23PF76,214501844,info@scoilmhuirecork.ie,MRS. REGINA BUTLER,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,391,,391
62691G,Regina Mundi College,http://www.reginamundicork.ie/,Douglas Road,Cork,,,Cork,T12HN93,214291681,admin@reginamundicork.ie,MS. YVONNE LUCEY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,551,,551
62692I,Christ King Girls' Secondary School,http://christkingschool.com/,Half Moon Lane,South Douglas Road,Cork,,Cork,T12R22C,214961448,admin@christkingschool.com,MISS MARY KEANE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,864,,864
62693K,Presentation Secondary School,http://presballyphehane.com/,Ballyphehane,Cork,,,Cork,T12YH04,214961765,admin@presballyphehane.com,MS. NICOLA O CALLAGHAN,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,232,,232
62730N,St Patricks College,http://www.stpatrickscork.org/,Gardiner's Hill,Cork,,,Cork,T23HX04,214503055,office@stpatrickscork.org,MR. BRIAN CRONIN,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,241,,241
68263P,Cork Educate Together Secondary School,http://www.cetsl.ie/,c/o Nagle Community College,Mahon,Blackrock,Co Cork,Cork,T12WT21,,principal@cetsl.ie,MR. COLM O'CONNOR,N,Mixed,,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,60,60,120
68264R,Edmund Rice College,http://erccarrigaline.ie/,Carrigaline,Co. Cork,,,Cork,,,info@erccarrigaline.ie,MS. ADELE J FLYNN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,76,70,146
70910L,"St. Brogan's College, Bandon",http://www.sbc.ie/,Kilbrogan,Bandon,Co Cork,,Cork,P72X259,238841120,admin@sbc.ie,Ms Helen Cadogan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,153,348,501
70920O,Colaiste Ghobnatan,http://www.colaisteghobnatan.ie/,Baile Mhic Ire,Co Chorcaí,,,Cork,P12X239,2645058,oifig@colaisteghobnatan.ie,Breandán Ó Lionáird,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,82,124,206
70931T,Scoil Mhuire,http://www.scoilmhuirebg.ie/,Béal Atha an Ghaorthaidh,Co Chorcaí,,,Cork,P12YP62,2647050,oifig@scoilmhuirebg.ie,Mr Sean Óg Ó Duinnín,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,62,54,116
70950A,Clonakilty Community College,http://www.clonakiltycc.ie/,Clonakilty,Co Cork,,,Cork,P85E099,238833877,office@clonakiltycc.ie,Anne Dunne,N,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,41,513,554
70960D,Coachford College,http://coachfordcollege.ie/,Coachford,Co Cork,,,Cork,P12DY92,217334113,coachfordcollege@eircom.net,Patrick O'Connor,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,304,348,652
70970G,Cobh Community College,http://www.cobhcc.com/,Carrignafoy,Cobh,Co. Cork,,Cork,P24WR29,214811325,cobhcc@eircom.net,Frank Donovan,Y,Mixed,Day,Some pupils taught some subjects through Irish,N,N,INTER DENOMINATIONAL,Open,106,149,255
70990M,Coláiste an Chraoibhin,http://www.colaisteanchraoibhin.com/,Duntaheen Road,Fermoy,Co Cork,,Cork,P61VX78,2531633,chealy@c-chraoibhin.ie,Christy Healy,Y,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,303,456,759
71000A,Colaiste Treasa,http://colaistetreasa.com/,Kanturk,Co Cork,,,Cork,P51A521,2950062,colaiste.treasa@corketb.ie,John Murphy (Acting),N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,282,245,527
71020G,Davis College,http://www.daviscollege.ie/,Summerhill,Mallow,Co Cork,,Cork,P51H589,2221173,davisoff.ias@eircom.net,Stephen Gilbert,Y,Mixed,Day,Some pupils taught some subjects through Irish,N,N,INTER DENOMINATIONAL,Open,338,481,819
71030J,McEgan College,https://www.mcegan.ie/,Macroom,Co Cork,,,Cork,P12E291,2641076,mcegan@iol.ie,Ms Patricia Lynam,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,80,82,162
71040M,St Fanahan's College,http://www.stfanahans.ie/,Mitchelstown,Mallow,Co.Cork,,Cork,P67AK37,2524314,info@stfanahans.ie,Edward Cronin,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,140,122,262
71050P,St Colman's Community College,https://www.colmans.ie/,Youghal Road,Midleton,Co Cork,,Cork,P25W658,214631696,rwalsh@colmans.ie,Karen Casey,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,239,533,772
71101G,St Aidan's Community College,http://www.staidanscork.ie/,Ballincolly,Dublin Hill,Cork,,Cork,T23YE02,214309598,aidanscork@eircom.net,Mrs Sheila Curley,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,155,263,418
71102I,Schull Community College,http://www.schullcommunitycollege.com/,Colla Road,Schull,Co Cork,,Cork,P81RH21,2828315,office@schullcommunitycollege.com,Brendan Drinan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,190,211,401
71103K,Coláiste Choilm,http://www.colaistechoilm.ie/,Ballincollig,Co. Cork,,,Cork,P31NY77,214873308,runai@eircom.net,Ms Michelle Sliney,N,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,679,673,"1,352"
71110H,Nagle Community College,http://www.naglecc.ie/,Mahon,Blackrock,Cork,,Cork,T12WT21,214358633,office@naglecc.ie,Fiona Mc Donnell,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,65,128,193
