,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Lat,Lag,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
10,91356F,Tullow Community School,http://www.tullowcommunityschool.ie/,The Mullawn,Tullow,Co. Carlow,,Carlow,R93DT20,599151473.0,info@tullowcs.ie,MR. PAUL THORNTON,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,332,299,631,52.79937349999999,-6.7323445,CmRaAAAA0fIltQys8RUmGhwRRNDBqY7XsbsWYzyqVfDPmQOKp0_gdEGkt1vEq4MZY2uA5aGew-KPbANMDh6jAUu9JltQhfFqKMatKJ45I4ahSO8hm6gn_S0u6huE7tnpfzQYkU_zEhAzlnO5zZ17RQuYd2gfjc-_GhRm_iJeh0DtHTYBLtJK3mxpFzhFIQ,,,,,,,,,,,,,,,,,,,
11,61051L,St Clare's College,http://www.saintclarescollege.com/,Ballyjamesduff,Co. Cavan,,,Cavan,A82NT92,498544551.0,stclaresbjd@gmail.com,MS. TERESA DONNELLAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,337,294,631,53.8653275,-7.197610999999999,CmRaAAAANc7MAM5F4JbCFlQNKX7icusJPFAZT0bIncnkU1j5_UKUWU0ZL2N3zi1jYkxaDJzA7dIx-peJe1kGkO3FPZa5MoJ0FoOmPzjpD6TVLDXn7hsoGhGpHU3aDZ_tq_tjf1m9EhBZPY625O5G-QTJ47JglCqEGhThL7RkJK1EI03bIEaavvqTd5yrcA,CmRaAAAAVIf1U-u77STalkJe8liYN6Gz1Z4BR67mHXFy4NEpaPzmbEi-hoMrSGiGzp7xOSQEDNdsyKA7BLgCXLYo6ZbdfRJeGklkedL4dknzp2gJY8N6r4ImCpl9ly2bDaQghvJ3EhDRSJFpVxALBfrYdIIzb_fBGhRwUcfbklL_wOoRtaLKms9uhXD7MQ,,,,,,,,,,,,,,,,,,
12,61060M,St Patrick's College,https://www.stpatscavan.ie/,Cavan,Co. Cavan,,,Cavan,H12K827,494361888.0,info@stpatscavan.ie,MR. CHRISTOPHER ROWLEY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,690,690,54.0097605,-7.3516469,,,,,,,,,,,,,,,,,,,,
13,61070P,Loreto College,http://loretocavan.scoilnet.ie/blog/,Cavan,Co. Cavan,,,Cavan,H12WV60,494332881.0,office@loretocavan.ie,MS. MARY ANGELA MC GARVEY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,687,,687,54.0132397,-7.3736525,CmRaAAAAi2YWbzSj8OQY13NzikLJZfnkK2uHdjNFN3zbUGCj1ecaGWVUurEjgb0Kvi0BnhMM2Fkpb8Pw2xv418rsIKtwh5rUB5f3jP_Lm_4YiYyTTjBJIRzFq-nOaPYtfY1pVfnnEhB89MREdvUhHiXR1jOCyOy_GhTVWkfuM9esnTguGhS_fGD1QdDQIQ,,,,,,,,,,,,,,,,,,,
14,61080S,Royal School Cavan,http://www.royalschoolcavan.ie/,College Street,Cavan,Co. Cavan,,Cavan,H12AY10,494361605.0,info@royalschoolcavan.ie,MR. EDWARD LINDSAY,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,99,119,218,53.9844935,-7.361756600000001,,,,,,,,,,,,,,,,,,,,
15,70350W,St Bricin's College,https://www.stbricinscollege.ie/,Belturbet,Co Cavan,,,Cavan,H14P896,499522170.0,info@stbricinscollege.ie,Mary Sheridan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,103,118,221,54.099416,-7.4434722,,,,,,,,,,,,,,,,,,,,
16,70360C,St. Mogue's College,http://www.stmoguescollege.ie/ http://www.stmoguescollege.ie/,Bawnboy,Belturbet,Co Cavan,,Cavan,H14VW13,499523112.0,info@stmoguescollege.ie,Ann Conaghan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,104,121,225,54.122559,-7.677543699999998,,,,,,,,,,,,,,,,,,,,
17,70380I,Breifne College,https://www.breifnecollege.ie/,Cootehill Rd,Cavan,Co Cavan,,Cavan,H12H798,494331735.0,info@breifnecollege.ie,Mr John Crotty,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,330,346,676,54.0095501,-7.346259400000001,,,,,,,,,,,,,,,,,,,,
18,70390L,Virginia College,https://www.virginiacollege.ie/,Virginia,Co Cavan,,,Cavan,A82X224,498547050.0,anndoughty@virginiacollege.ie,Karen Fitzpatrick,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,268,365,633,53.8319509,-7.0844007,CmRaAAAAX521gtfGL-_6TuRgUCZNuaFxMl99Ppu7KSxKyJ21m8ensv9-SBi_eB1hyOjz0OHO1SJBePNSkuTQZaWx0qtPXyU_9JbRV3se_LdSDIdNvP_XJqyvlPxJ-YITmYYXdId_EhC_A6vIrIxUmhPuOirHgW0PGhSg7Ch5GK4LRtRLoP495MPE6FZIiQ,,,,,,,,,,,,,,,,,,,
19,76313A,Dún na Rí College,https://www.dunanricollege.ie/index.php,Main Street,Kingscourt,Co Cavan,,Cavan,,,info@dunanricollege.ie,MR. FERGAL BOYLE,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,83,81,164,53.9095708,-6.8055034,,,,,,,,,,,,,,,,,,,,
20,81005Q,St Aidans Comprehensive School,http://www.staidans.ie/,Cootehill,Co Cavan,,,Cavan,H16CV91,495552161.0,office@staidans.ie,MISS MARY ANN SMITH,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,255,259,514,54.066793,-7.062664,,,,,,,,,,,,,,,,,,,,
21,91351S,Bailieborough Community School,http://www.bailieborocs.ie/,Bailieborough,Co Cavan,,,Cavan,A82P585,429665295.0,info@bailieborocs.ie,MRS. MARTHA LIEVENS,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,311,318,629,53.9135139,-6.9735109,,,,,,,,,,,,,,,,,,,,
22,61910K,Rice College,http://ricecollege.ie/,New Road,Ennis,Co Clare,,Clare,V95FV10,656822105.0,admin@ricecollege.ie,MR. LOUIS MULQUEEN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,253,410,663,52.8478248,-8.9795321,,,,,,,,,,,,,,,,,,,,
23,61920N,St Flannan's College,https://www.stflannanscollege.ie/,Ennis,Co Clare,,,Clare,V95Y102,656828019.0,ignstius.mccormack@stflannanscollege.ie,REV. IGNATIUS MC CORMACK,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,379,802,"1,181",52.8337587,-8.9835278,CmRaAAAA81SVRsEhd3iRHGlhVoAmzxKTqDQmIjlHSnw6qbW6cgfwFo2F3xjPhExPZHGuKMUy1sxkzQvqNicLsSVE_OmKPOD9Jga0rxOvTkCbmnJRKtcTj06vftWiBuRtLwu6RVLWEhByn6bWWlr55FppF1IYyRQIGhQfAvVvBQF9ndhLbRw8jbpz4L9o3g,,,,,,,,,,,,,,,,,,,
24,61930Q,Coláiste Mhuire,https://www.colaistemuire.ie/,College Road,Ennis,Co Clare,,Clare,V95X683,656829497.0,admin@colaistemuire.ie,MISS JEAN A POUND,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,956,,956,52.8474983,-8.9855191,,,,,,,,,,,,,,,,,,,,
25,61940T,Meánscoil Na mBráithre,https://cbsennistymon.com/,Ennistymon,Co. Clare,,,Clare,V95W880,657071349.0,principal@cbsennistymon.com,Mary Lyons,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,221,221,52.941792,-9.2895743,,,,,,,,,,,,,,,,,,,,
26,61950W,Scoil Mhuire,http://scoil-mhuire.ie/,Ennistymon,Co Clare,,,Clare,V95AK18,657071224.0,admin@scoil-mhuire.ie,MRS. JOSEPHINE DONNELLAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,244,,244,52.93885479999999,-9.2986566,CmRaAAAA3dchrBeZ7ZtM0-AeRuC2kZWEPNeaB76y7mttP3iTE-u6cQVWq5mvw6c7Ty6ZHydDqhG9ZA0q-y_gj5CPvspJz0Wh2YRq85EN9vVduwkglbivH7zCbJ9tFpFK7Qo8ZabYEhDM1GzRaXMJnqCYkgxUSrQvGhRr_m8nhBSyA1ZpfPNNK2ZQtJkrTg,CmRaAAAA7qP4vaQ0g8kuXbI98qrlzX6iy1AJhRD0K9SbxkkFAr4YeyqCR9rM2pzr8B37cxYXy_IrDBHFj0udsAn4oZA6MYSZoSs6EVwdgeZAcyMTnXEiJaMf26mtkDqm3zSqicXLEhDmo5zuk9shfwNDXl9MMTPSGhTbvIad7TuPSQJBBybO9UtcrFQXKQ,CmRaAAAALi82Knc7ijqqG7I94TcjAhw1UQc7VDo4M6DVbk0Qy-aPiwUb8mWY0TqbMrqbE5ZJPjdwdkaAVjD5FrMKgesqe-9deUytv_f_mnYsRqOsX3SN74dPyfcnEAvBS6cmxnR9EhA41Z-TanVJIu9pW8le4uNhGhQuCNo7Fq_Z5Izv3jqePTy7sXZatw,,,,,,,,,,,,,,,,,
27,62000W,Mary Immaculate Secondary School,https://www.maryimmaculate.ie/,Lisdoonvarna,Co Clare,,,Clare,V95R2AW,657074266.0,info@maryimmaculate.ie,MR. JOHN O'LOUGHLIN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,113,99,212,53.0305019,-9.2898619,CmRaAAAAx4c_NQieERvXNBmbCpz0aJe_IDflwZQqAt_laDco1IkKBsUFHBAoX0taQzLpXmSJTwJcLfiNzRJ_ciB0BBMOk3g852ugKLfm-G4k7WbhW2p8GMy0Wh6840th3-zZTM_eEhDD6jq7csT4NBztUpdsfHWwGhRNojebqafj-VB2Xp2V4Wf-Fl6flg,,,,,,,,,,,,,,,,,,,
28,62010C,St. Joseph's Secondary School,http://www.stjosephsspanishpoint.com/,Spanish Point,Miltown Malbay,Co Clare,,Clare,V95NW01,657084311.0,admin@stjosephsspanishpoint.com,MS. MARY CRAWFORD,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,137,158,295,52.846792,-9.431687,,,,,,,,,,,,,,,,,,,,
29,62020F,St. Joseph's Secondary School,https://www.sjt.ie/newwebsite/,Tulla,Co. Clare,,,Clare,V95A248,656835113.0,admin@sjt.ie,MS. JULIET COMAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,263,286,549,52.863721,-8.761016,CmRaAAAA0Ylu6WryMgbE5TkvFGTVUfriPUV7xSqm2uvNzOEpZe0l_q2EEuvrDpTe2Z0IZgm5qTIkaPjqtxHhY5ONfF0ht-AtoOGmknHrhod6aFDQ0dVsDIp50gy0ZDqR3jRkwwhZEhB9R5uNhgdlFAsY3CJFgO6UGhTRrorcTAULe1h-Ds9Hkuo3LPmFMg,CmRaAAAAxGcWy-ldJ9jPaepteICL8_TlEBsIIl8vOwH4hEDYN25-Q76IY5BLYh4acN-RsHX2oujye5G_CqJxzdm99192i9i67yC4f1SNryQ5RFZhirRSS12Jd7_TwFAEgvRCVydeEhC8Aq8zjWf0uuKltpWVR4yqGhSljzaA8Chagr9OEBJ0D0zjiW3zzw,CmRaAAAAKJpeuCghHPxHTibRb0VQ8Kw2RJ1sO-DlQC2niL0c3dVsrbw5ALEj9uiSoJ7hSrx7SZEcJId5L2ouSiFtJki_AHn1Xc6ueADXbnk1sDDXxXGQTdWzfFhdXZGem7ZZmBKaEhAfEbsGkutc2iGbCcwlVD55GhRLuN7IsFFCIOYnyqBaS2kuTLTUVg,CmRaAAAAqsUXmV7cLehBZ5UQN60ez-gIZmpSSr845isSPAU5shZlB51QgmStD0E80aeTq41AF5lcEnAKFJe2FAqSYbQ238jllWww1eHU26hLSYavDhNOog99NPOFQ42IRjJ-LjTTEhDnd88WIjHrBTDKjA9kCiaOGhQHACwrdSgvwMCZaUi8emBOiD-mqQ,CmRaAAAASszoc-V8M5aZ8n6X7CB5igkjPP3HMOvd_IixBzj7yId_o4v0DbJTSihGufoNYLUEhMj2kJ8yErJwBwFEdry7gnwHOHSmzfyZYRTo2hxN-YsJP8cu_TJD1SJBKt6ng50_EhCevoWj3AVMU9yHq_K2JMutGhSEbppzE_JJIdKdUiJZB45HvK341g,CmRZAAAAe1lQ-BxiHF1TnxShfMrHOekfZB9vtWlcZGs4nNzfdccJTv-zbROQFzqPs_UvXuomoZL1lYqEm_xfqOaeB_POgrrIkcMAEQAzq-19I4gtH33FO6sKZm_XTU4oU_fSGHXpEhBCZHBYUn7Cs0mMe0FEOIwQGhQSiTWC3vTIlObnpNkvOIqDgdIrGw,CmRaAAAASo9KGRQpccUc2RAUvPSmhf9gnj5X2pya3VVgpVsprK5sybUeusthsLWO5hamjb12gXfGmwp69dDcUz2n2x-FXIHPGycAuStDB0Dm2prxj9w0LU0Va_f7sCk_pP5KbqOrEhDA3nK6sLkyHdSTFW8bKCiaGhRRXKLd_Se4svkZOAC1mOI-w9z25Q,CmRaAAAACn0Sx448dJSsD4W_w5h96wsZwN1BgB_QqFqIVmlW2NMn_XwXjPxNfJO-ekNczIzO7zMgwOGVw3ueMy67gAkKo3wOMBMeietvqcJd92kehRTBtzdCII-kb3EHFjQQ9eg8EhA2F0th0ksUvKhhtef-jzWFGhTAyltsyze8at8YxpNRw9oyltmE2g,CmRaAAAAATwrtfw66v4uMbqrWeVqktpLP_u5iI8RPjtR_zdvMmibim8ZzeEceyEmtl0cIWMS3nMpYfnF4lh7MeMGFw2xtz5ethiJ_A6p3hQA_iTcpm2CqgIaXSU13hrTT6aaUhwSEhA4PJKXh2bKdzdkTEhnqAfzGhTOdQQF971mVpPRKtlX5Xfjv4QsUw,CmRaAAAAFO9W2QsbD61Cct4SHkbYya9Ii8DWKKSb___JwXiEP6KcoOy9mw8W_a2gRcf5UbaiylyKchFbVqQX5CEV_pIEf5htPafyaLl5CDcQ5IqI36LfXyTnQFXSs5O0kDr434w_EhBSuDcfPMhZdLvgZx58SnDFGhRcsq1iXf2UPl960nyLPy0t4z6uag,,,,,,,,,,
30,70830N,Ennis Community College,http://enniscommunitycollege.com/,Ennis,Co Clare,,,Clare,V95XD66,656829432.0,info@enniscc.ie,Brian O Sullivan,Y,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,182,212,394,52.847012,-8.988017,CmRaAAAAJbofarQB4-4TSqv-i7DWF5pQKE2JVQGOV7f_5qwIx3iaG__kmKchVyHbBJEuHPXyTaRZ4prW3L_cNHt_OwpV-4CfodZl3Y97spsyTeE73sWLb-qQM-cWAkxDhz4aIWJMEhB4Qj1lfTwvtB2QjWk9SHYHGhQiOXHbgQyAmJ9nbQU5PjQ3IHDb0Q,CmRaAAAA8frfT1UmtCpN490R2ZielTxgBAxrOnzPxIHdvApl_R9ftK5dUKKduJN-DXZIxIl4BH7DKT7rz4fTUMO4vDN3hBSk1DFT6E5PVQ44S4KJl7yjZJpT1xLm9GvhmFdSsnl8EhAA5lvLypvy8TVg-6aoShftGhQI9U2Be-J3mjQzZ_jyUjFP30rtAQ,CmRaAAAACnp5accZMVvt4ta7HjY3FkwxBiIU5D9LkeoXSmQTrgTEVq8GfIJ4c4bLi8TIBSIHbmE2LSrc6tdnodvuwfIHsCiSkqtZsRsj0Y7Nyw3amrAxuB_4Obeu7fNRcmjO7DvUEhDiUiOU7bvP85GC32vBvgQaGhQiOagKz1X7l91bKz2xY7jOILh-_Q,,,,,,,,,,,,,,,,,
31,70840Q,Ennistymon Vocational School,http://www.ennistymonvs.com ,Ennistymon,Ennis,Co Clare,,Clare,V95P991,657071375.0,envoc.ias@tinet.ie,Elizabeth Flanagan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,89,149,238,52.941792,-9.2895743,,,,,,,,,,,,,,,,,,,,
32,70860W,St Michael's Community College,,Kilmihill,Co Clare,,,Clare,V15TD30,659050021.0,stmichaels@kilmihilcc.com,Ms Helena Keane,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,133,85,218,52.938148,-9.298601999999999,CmRaAAAARKmJ3ZoXMfckzd0Va9HVbv3_z3m_UVPcGf5jptmktQWuaHM_fSTHGVRk_yMLSwavWGEJSZ11TAQSB0MX894vT5rJefCJ5c_0KQ6VWRyVFd6uHOCBdn-8YKWObsyql1IDEhAyBJCsJVzFdnbzGIcMNgPjGhSLTa3GxLRnr-2z9-Cu9uQ-BiLnGQ,CmRaAAAAIqIWDgrbfxqya1dxL0oKSZ6tY1NbZuiMfHjL5HvOY0isXdIVFM6aQ2OnFq4CgRGpQCn16jyZzUJYbKaSWOkgYkcQtpLczW1tVP4RegFNa9Lry60U_u96bjA70ROolcCGEhDu9FQUW1EmDvrIaC4Yo61vGhSt-mEeAjYG6_UObrTgtnq1AC3WVw,CmRaAAAAAYJfQThIsdLqsbZZvyW9So9UeRSSarrfBN_wIknlVV71Ijav584UQVEqcUDgn-2CFEfZ4OMD8BOSkbaEEIALh_mABiDbcRfsb0YrKy9R2GJcfVNBdMrzbSppBcTfT6uNEhAOLma7cI0SJSiIGgBzf9qWGhQF__Wbvy3VWI-xdCExMpKStrSY0g,CmRaAAAAQjlqRq8QPbjpVkMhqoprJSn36g3P_bNFGniZzfPpL2wAkMotPhdw10SOnp5-1w_fn5MswaLstvzJdW6VjLRnGBxAjFrcj8dDPAr6Qsa4PQrErOMuJIXuXNTs6hLnSUD0EhCiFmLQhaQulm1I-evH0fgdGhSzxKHBhKAiafFWNwJcdY_9GMzylg,,,,,,,,,,,,,,,,
