Rank,Previous rank,Name,official_school_name,place_id,Type,% at university,% at third-level,Boys,Girls,Students/staff ratio,Telephone,photo_ref1
158,138,"Ardscoil Ris, Griffith Ave, Dublin 9",Ardscoil Rís Secondary School,ChIJBStN008OZ0gRvZYZRX2aIFQ,B,52.3,93.1,526,0,15.9,01-8332633,CmRaAAAA55qydHxxZ_5sNtQ89B56Zw90LuYx65RCK56ZlK7QiReU9d1lBVDkBsfITV4PwuZqAygFoTwnQTBYX8ITYJftueawXaLvd-3P8fq5kzG39zlGIcVnqQ5XUauJtYsVq9ChEhAxNqTNov3pnQhvbYkD2WTpGhQrdW-XTpBH2qLR2YXVfZw8duX67A
362,139,"Gairmscoil Mhic Diarmada, Arainn Mhor, Co Donegal",Arranmore,ChIJc4c6o5dvX0gRfypB0_z_FQ0,M,36.1,83.9,52,53,,074-9520747,CmRaAAAAGgP9zND0_SgmlxFq7wNTrSEjZLr71gzFr0646bVQRQTXl1O8CEKgQR_oluwW2qZovvW1StQdU8yZsrgfrGNjZj_cRSLwKKIl_BmWJQlimn9_0e9ixeiBq6x1j7c-S3VeEhDZlJv5FEIZFoO1k-5dyofHGhRXHJ-x3qe9T0pfob1ZWSrBNG-qoA
240,290,"Ashbourne Community School, Deerpark, Co Meath",Ashbourne Community School,ChIJNSUMYeoUZ0gRkX5jxqKNOaA,M,44.7,85.1,600,472,14.8,01-8353066,
94,98,"Ashton School, Blackrock Rd, Cork",Ashton Comprehensive School,ChIJq60xs7aaREgRsS6Qx-q1QRY,M,60.7,93.1,282,244,14.3,021-4966044,CmRaAAAAUisgfqHzCJ_8TNXwWQsXyeqIt-rnq7Do3DRdAEU5ml4_2YXh6Z5LFhaFVgQ8zffYGj0g8_88NJ8mg4Mhlk3uo2OsdtcKpgribTgTzInKaxfsMe4KBnA_CpKzS7r3SXQdEhDySFRmY2Az80PqafmYiqI4GhS3re7-1hw7fSrFX419H-2q-bJT2Q
284,368,"Athlone Community College, Retreat Rd, Co Westmeath",Athlone Community College,ChIJy2BX7QxJXEgR0GlNL7tKrBc,M,41.2,88.4,594,524,,090-6472625,
274,272,"Balia Secondary School, Balia, Co Mayo",Balla Secondary School,ChIJex5iWNlaWUgR0aKBSlnp3vY,M,42.1,89.5,154,107,12.5,094-9365082,CmRaAAAAlLg_h0CyZ5kxdzFcZfyaPz5bfmj6bjdj_29nGqv90Bnf0IZG61rkFGjfrmdvIQ0RGTToacn9mzHXuWM1Kp6NU3ecWDyZ1k0b3Uuh_sVDppiKWwHxryg18C5W1vnyLBbpEhAhAErRHQPqFrYAkmT-CTjkGhTnKBTTN73OY5HNv0Cvt7D2dzQBDQ
204,251,"Ballincollig Community School, Ballincollig, Co Cork",Ballincollig Community School,ChIJzQ08hm6SREgR1vo78rhSJ7Q,M,47.8,82.6,405,386,14.7,021-4871740,CmRaAAAAZ_y0bel44Ya5cOg7z4SecK5CZeosoNND3QTTZzARzciRxKIuiHzPqqkkW2wfuMWWvatt7RcDugObKVpzcUHoMi3aU6-CDqQsmLIC1eHN_qbxbDvGIrfw4DP7sf8gBimOEhApsOVnpsAo94hAQwXuzXAoGhQkjZL_zB6um-PfwpHnSvQ7jAHjFg
276,313,"Ballinrobe Community School, Ballinrobe, Co Mayo",Ballinrobe Community School,ChIJvQBMPD7nW0gRq4sHCAsoGso,M,42.1,70.5,311,318,14.5,094-9541777,CmRaAAAABuVPcID1sUzDOkrwoe-o0PSLTRPd91w_3j5V8P7rf3WgeLlFJgvDFCTvZ9ETh8w6TzEWCLGdNRiRE9q2q05H1WLyBTU23H1yDKuJI01kCmo-g_WykTt6Zhdg4eslMvlNEhD09dXO6mlrF3RX8IbxhT1hGhTiNYlGne6i762bDiaaJF2ISI0ABA
343,,"Ballyhaunis Community School, Ballyhaunis, Co Mayo",Ballyhaunis Community School,ChIJJ9nOTJ6qXkgR-N-l5Lze62M,M,37.8,73.8,257,282,13.8,094-9630235,
316,350,"Colaiste Na Sionna, Banagher, Co Offaly",Banagher College - Coláiste na Sionna,ChIJi7ip2QpZXEgRr1jrNFKKZ0w,M,39.4,81.8,274,262,,057-9151323,CmRaAAAAYNXMOJ8btVtneU4wCn1zLA0dD6QnLkBERSuk0cXFJaODiqcYzlE3nwUbBfBgoE41NR_Ry1yyRbMHKThbzqsviT9Cs46_4hiT0HPBfTXMgaZnJFDc7rOKg6jwsHS6u_i_EhBzeGTlrNaMR2pO9sit6K9qGhTMFiHrByoXJVOtYJdvo6Zvc7GQqQ
229,207,"Bandon Grammar School, Bandon, Co Cork (B)",Bandon Grammar School,ChIJ6Vm4FS70REgRphK181IGUmM,M,45.6,69.1,358,302,17.4,023-8841713,CmRaAAAAcgE5a39TRCR8a_3gt_4XZGRLK9WWd6EHGBInThfO37xGHK3zuxT9QrxcMjxWSS76juey533za4pNsi46SIkTAisfl0RJEI8ANYGxEBTBivrbiSy6wxbOkwHXrYw-JNJ6EhBNyjs36bpAuulpmDcLSW0ZGhQfRDzNeLNAfeCt74kj-6BQuetazg
342,304,"Beara Community School, Beara, Co Cork",Beara Community School,ChIJM0LpiEx-RUgRJMwY5MahMsY,M,37.8,79,178,149,11.4,027-70177,
15,23,"Belvedere College, Great Denmark St, Dublin 1",Belvedere College SJ,ChIJTcaPW4cOZ0gRVgqU3H63398,B,78.7,98.1,1011,0,19.6,01-8586600,CmRaAAAAoVbsayb6bD38SaLfSZ6KTMEawufZiGcgLQvvtZm5APt1eDvsAxACjXQRpsmZvjigowkxoYIU5I4ajmUPbeQ5Rx6XbnVSPHL9M4ofZg4uAfzEsssJDfFIbk4SHdL9sSj2EhDg6ooa4YtP9ghjl3JjyElPGhS2DAM9Fmq7qLsu9MSTzbNf-r8zwQ
21,26,"Blackrock College, Blackrock, Co Dublin (B)",Blackrock College,ChIJUVrVbdAIZ0gRC3qozmRomPQ,B,76.5,100,1014,0,19.5,01-2888681,CmRaAAAAO4Dd0_GbzpPLpJL2RMszal_bvDJ7N9MJLhJ8Ox7LOgLrEwcuuXUpQ4EhuAYNkWn3hGgXpc7_0YVLhuPDZuVShaXgERJXVsahjLSCyiQIzCnZuCdMNRUBWeT1Mw81SOTvEhDmMbAqAzW0zaJlHm0b22-LGhQz5WaDj-799Yyl5uui3JrYK-N9Gg
322,303,"Blackwater Community School, Lismore, Co Waterford",Blackwater Community School,ChIJ_8SqWKBBQ0gRL8971dOCWsU,M,39.2,75.7,391,393,14.3,058-53620,CmRaAAAAmuMZsntm6Y0egBj09xGcGYuZlGRZNT4qtY59XwCHUQRhpi8o0gRdjI-0cVaJTPFnLUQsjUfZ4KHQph4kkzNntiGqvrl03zvXnKUjLP0Wj8DVmduIfY4pPWCnczmhKaUzEhBUVEeB1uITMx1MEAUXXaXhGhRaHZY1b7z9B0LoEHV16nhbNJ83OA
217,194,"Boherbue Comprehensive School, Mallow, Co Cork",Boherbue Comprehensive School,ChIJL6Zg30LaREgRtlrLkLZaKGA,M,46.6,80.4,150,171,12.7,029-76032,
366,369,"Borris Vocational School Borris, Co Carlow",Borris Vocational School,ChIJKUW6qWNOXUgRpBR759kEqi4,M,35.9,74.7,273,238,,059-9773155,CmRaAAAA73WUmZRpEJrWfV4CSV4zVcOofsvlkAlTCAt9c4fx536UqU1WQ_reO0-mmelli0eeYsM5otco9TceTzULkXmapBz2NL4QzX-cbLquAugzpy2q7_5WZ-NhKGhwevbMuo6cEhBrrx6q_gfrClEdXyeDbWyWGhQWmmgmIXuJcKX0pL91QFlI1OgygA
259,287,"Borrisokane Community College, Borrisokane, Co Tipperary",Borrisokane Community College,ChIJP1zJ-sSMXEgRMaF-Jnd2ltk,M,43.1,77.5,306,282,,067-27268,
294,331,"Boyne Community School, Trim, Co Meath",Boyne Community School,ChIJxZz1rgReZ0gR6fX9KlivnSg,M,40.7,71,601,144,12.5,046-9481654,CmRaAAAA5dbDa_BsWTCThRQQDdwIhOoGyEJeiaj9J5sSnvZzxe6qO3fR7nIO6Js1_8K0I2jdQSvWRR7ImHfmz5Bg8OPfy_UPD8WbfaMvsTl7VcVmpyLQXmSxDvEhW78bZXIBXZl_EhCh7w-jIqklPetq3Wpp57wwGhQcbGmufBRvqjpk2CMYCHwuCbP6jg
130,108,"St Louis Secondary School, Carrickmacross, Co Monaghan",Bun Scoil Louis Naofa,ChIJoxlN_y-yYEgRWImE009Nf9s,G,55.4,88.5,0,589,15.6,042-9661587,
99,125,"Calasanctius College, Oranmore, Co Galway",Calasanctius College,ChIJbfOiX0qQW0gR9zEHUF-GRFw,M,60.2,93.5,438,412,15,091-794564,CmRaAAAAt5-bsa82-BwaWpZ0-n64SQVkCFqnPfG_HIN5anRMjakAKHR-q9m6hLfzWTNq7_0rcQNPYbYqA7YAveniSaLr374K-0PgfKr5qDVw7XCoWQK8Bh3QGVHJ6X3wsUokAK_8EhCEeo5OenUNlhmHUSu7nY5-GhTT2oqcc2frpjKSLGTqPcnZ--NOwQ
267,233,"Carrick Vocational School, Carrick, Co Donegal",Carrick Vocational School,ChIJXynn6FI9X0gRJpaDWjEeIIc,M,42.5,89.6,129,98,,074-9739071,
311,318,"Community School, Carrick-on-Shannon, Co Leitrim",Carrick-On-Shannon Community School,ChIJL23nArKFXkgRkd7f4pJXnbY,M,39.6,74.2,308,305,15,071-9620880,
278,240,"Carrigaline Community School, Carrigaline, Co Cork",Carrigaline Community School,ChIJc5ycxsqFREgRQNjCQDXFlGw,M,42,81.8,572,580,15.1,021-4372300,
302,,"Carrigallen Vocational School, Carrigallen, Co Leitrim",Carrigallen Vocational School,ChIJV73Vu1ZwXkgRTlKPyDCW9IM,M,40.1,73.5,169,135,,049-4339640,
82,71,"Rockwell College, Cashel, Co Tipperary (B)",Cashel,ChIJZ-UjDOjLXEgRwOkxl6nHAAo,M,61.6,87,356,121,18.2,062-61444,CmRaAAAA1GXcppEinwdAt1lzMl06NcP9zu1d1N5vGkH7dnBGG_T6bArIENFOoyROTqGG7t22eILIO8TsF1DKthPdbPYyPhybEMyyYBCFKYBGt5gPNjTwTlAe1WazahVAe7xnwk_dEhDAQMFwT3shE87YDyvwwuOvGhQQkWhTY4IvY6RbCBc9tBsZYftapA
331,394,"Cashel Community School, Cashel, Co Tipperary",Cashel Community School,ChIJxSHRttzLXEgRZoKNwElWdbs,M,38.7,69.4,434,393,14.6,062-61167,
391,360,"Castlecomer Community School, Castlecomer, Co Kilkenny",Castlecomer Community School,ChIJBwv9vzc-XUgR5smoVCN1Ois,M,34.6,67.9,287,278,13,056-4441447,CmRaAAAAJqKemKZ4Av1E6aem8bKVL3lnTO0WTrQiiv0yu-jtfRZDiGACy2yCWvx685rMmyIzDpYAvy-wrNmn2NiVtNq6SLWHGBfZHuzWcmRcXIE73u4lfSPDM6iN2z9m1fb-61_DEhAHClIarJRoCC3W53UG8kH1GhSApQW4BhKI7PSmkV5sDo-47NvZQw
347,356,"Castleisland Community College, Castleisland, Co Kerry",Castleisland Community College,ChIJWVrwyRouRUgRV8HrJnGRX08,M,37.5,78.5,129,102,,066-7141196,CmRaAAAAnXqJT5bb0-EJEuB12-G59addSecVXaJNssZ-V0zzQhTfGVRM51tDrhndRKHb6KvA9eF_u7kkWEXgFkskfYp-rH0TvH1_ixlSW1QY4DGZmRXNGpqZQk-NqA2MAVCdyWJwEhDhNSnbOVwTiW-9YBganfX9GhTzd38zfV0Shy0iqRjjI1nvkqXX2A
12,10,"Castleknock College, Castleknock, Dublin 15",Castleknock College,ChIJmRJw4zgNZ0gRMDnnNkBFwjw,B,80.8,98.3,644,0,19.5,01-8213051,CmRaAAAA-ru_dAMFkhq2DZfOtBDFAczsEJ_AnQ25H2TrQoovRhEQqnnqd1sr3_zBQfYl8Hylyevc2Fdf7RrmK9_2LaLAQDNpcfQXmBuKnvv85S3yFMXE7IKuHnMiqOkbpdTYGloREhAJax5YMVDO6kcbDA5HxgCaGhRm4rg4zHlWrAlR66GrfTFn8klaxQ
103,109,"Castleknock Community College, Castleknock, Dublin 15",Castleknock Community College,ChIJn_EUeLVyZ0gRBBEWEEzEnLU,M,59.4,92.4,551,604,,01-8221626,CmRaAAAAu9iYz_YAeacxLmw6SkTOG2pL1UaBo3zuY0MuDe44jTVWzN_5XkISO4SfQ-eLDSILbCSCLWHzS_fD2ARGkHD4Av_tY4wIFJ5V5ESoBaS9sBjBfFE11pJA-IdZWxYAjrE0EhAhh7grok9drEhPvaz5gr08GhSb1HdNJn6-4UZ4QSC8qajkWzYrUg
64,42,"Castletroy College, Newtown, Co Limerick",Castletroy College,ChIJ3eSNRcteW0gR3CMiFQmYyHk,M,64.3,91.2,628,592,,061-330785,
37,30,"Catholic University School, Lwr Leeson St, Dublin 2",Catholic University School,ChIJt9cchZgOZ0gRwW78_VEIEXw,B,69.1,100,469,0,19.8,01-6762586,CmRaAAAA35g_Uo63kdmc7RJQHpczV27EL4Gh-4IuarsZkxL4j42Ch0Ee-nMcMMDNlivKJgBiHFweov3E3Y9HWGwf690eX1gfyuG1OFIot8yxl3uc23ooJ9tPK1WVBEDUmyfTdhLLEhAGn3nXYpZRd8FPLw59DRMvGhSlG3y8lEIN6m1N8x9IgOD_L7UZSg
133,193,"CBS, Mitchelstown, Co Cork",CBS Mitchelstown,ChIJq3SICBNXQ0gRI-OtTrTFDWI,B,55.3,88.4,310,0,11.3,025-24104,
102,88,"Meanscoil Na mBraithre, Ennistymon, Co Clare","CBS Secondary School, Ennistymon",ChIJF-4VLnYGW0gR8I7iv139Lus,B,59.5,89.7,221,0,13.9,065-7071349,
135,99,"Christ King Girls’ Secondary School, South Douglas Rd, Cork",Christ King Girls Secondary School,ChIJ2YB9S_yPREgRIStAVE5_fdM,G,55.2,80.8,0,903,14.7,021-4961448,
8,14,"Christian Brothers College, Sidney Hill, Cork",Christian Brother’s College Cork,ChIJ48s9NwyQREgR5D2yJD2iYa4,B,83.4,100,903,0,19.1,021-4501653,CmRaAAAAY3EWJ38DhU9v6OgOFU_qlwws-sfSijk9d9NdPjL6-HGkEQ5_XqPTWZio42KN4z_HmM4cVd2NymKxVP8-fRgcBX1uYetQcvx2-aHJ3SqmHcRaRi0q6pGTBK5-Y_RULEJyEhD5XHgP6qJ5vbV_1lL80EulGhTg5oMOI1calqOda281NaxWZNY_ug
71,66,"CBC, Monkstown, Co Dublin",Christian Brothers College,ChIJY6fZmSMGZ0gR8VaouhFwSXo,B,63.2,97.4,450,0,18.9,01-2805854,CmRaAAAArM9-p-rcRud1VrhaZOwlKoadC9JDvdI-gLzD2E2YENNEUtg_Ia08PkoXW2YgDeRqKPSK_Qf80kQysk3lL8ObjO_XpVVBTkenRHlAlaozbLV2-T1uFA07QxRIQgVk_rqREhBQGi70eWnYMtNY9XBMgEeAGhTeG-fLVlOiWXrvrna12eU7XEXtOg
299,241,"CBS, Midleton, Co Cork",Christian Brothers Secondary School,ChIJpbnsMtN8Q0gRzEuRJ5BaMsM,B,40.4,77.7,695,,15.6,021-4631555,CmRaAAAAZH9KoQQNGOaELIwqmV5I4JdLRAsWPH0OlssgGFxZXSa6v3TrVXD9LNsqL3QTNSnlexJoF9p0r-PCC1n-X6ep1tlcOjBxQtB_-nqZ02vzuE8_wDWbJ4siB-XC3adLB1lBEhC6SwI7421iHOMsNseV_aFUGhSsBeM06g5oC98f5QotTTAgftU2zg
330,296,"CBS Thurles, O’Donovan St, Co Tipperary",Christian Brothers Secondary School,ChIJNTHQZcDEXEgR2OWQAC2pL5o,B,38.7,74.7,700,0,15.4,0504-22054,CmRaAAAAZH9KoQQNGOaELIwqmV5I4JdLRAsWPH0OlssgGFxZXSa6v3TrVXD9LNsqL3QTNSnlexJoF9p0r-PCC1n-X6ep1tlcOjBxQtB_-nqZ02vzuE8_wDWbJ4siB-XC3adLB1lBEhC6SwI7421iHOMsNseV_aFUGhSsBeM06g5oC98f5QotTTAgftU2zg
17,16,"Cistercian College, Roscrea, Co Tipperary (B)",Cistercian College Roscrea,ChIJ9T4Xc7L6XEgR3qYttKMbmtI,B,77.3,98.1,173,0,16.1,0505-23344,CmRaAAAAMKPDIQvRSurVjecyRpL4DB7goa_FXjiakoHoTkDfarCgOee7yqLqUg9zOvNCDK4Lc7VC5HkgCpmECNsIFYr4tMojaNcu0bpURoQ06YNF1gjYjm6fcyDhZ2OopPlPy5xbEhB0lZkHJqVCNKMHyDlEd921GhSgy1PFBsj5oMJUcTsg12pNlrRT9Q
319,239,"Clifden Community School, Clifden, Co Galway",Clifden Community School,ChIJQTJviVo7WkgRX9ilNUMrFDU,M,39.3,72.8,220,181,12.7,095-21184,
261,231,"*Clonakilty Community College, Clonakilty, Co Cork",Clonakilty Community College,ChIJR0et1udWREgRm2TWVxj4D0U,M,42.8,86.4,488,40,,023-8833877,
33,22,"Clongowes Wood College, Clane, Co Kildare (B)",Clongowes Wood College SJ,ChIJgSsqWRh5Z0gRpFH3-vFw4Q4,B,71.3,100,434,0,19.6,045-868202,CmRaAAAAVXYnBN4y4x3oaF6wU4kCXLPXOhYs0ms71bcq0NvGLFjFmTJfbcyJMniL6yCrx9ZPgPISpsKRgf6LBr0ybzytRu-efDiQXYHESTrndBX5m-AQiBeEpqwlMws5eDj8dSn-EhA89psaKibalHkTc2-d1rRhGhRZv_o-sUQY2F8zL-beBfcVWK_A7w
400,,"Cnoc Mhuire, Granard, Co Longford",Cnoc Mhuire Secondary School,ChIJuQA6p5beXUgROx8ON_ha3mE,M,33.8,67.5,221,239,16,043-6686231,
350,309,"Coachford College, Coachford, Co Cork",Coachford College,ChIJYckCCynsREgRkxik-QPvyvo,M,37.3,80.2,329,285,,021-7334113,CmRaAAAApp4T4_otXWwA7zxa8-g0JTu83EzTDM4XKDSGR8gBU6UfVPKislJsPYxq4csuDihnON88GZGvfKX9v3k4yWYiZIOCpzSBxbpGO0XboaGCW4kj6cHNGYkPdCDakjgsgSzNEhDTARne6VuJBYYo1VGuQ8-XGhQ_au7HHSaaI0j8qpponwa3Y9cM1g
127,33,"Colaiste Ailigh, Letterkenny, Co Donegal",Colaiste Ailigh,ChIJbzwbn0jrX0gRoDqzZOQTdDI,M,55.6,82.9,131,141,,074-9125943,
140,358,"Colaiste an Eachreidh, Athenry, Co Galway",Coláiste an Eachréidh,ChIJ8brukBaJW0gRyAEIiYw-ANQ,M,54.1,73.5,94,84,,091-874590,
26,17,"Colaiste An Phiarsaigh, Glanmire, Co Cork (B)",Coláiste an Phiarsaigh,ChIJY0rVWBmbREgRsQtdmJHny3w,M,73.7,99,264,286,15.4,021-4821955,
84,53,"Colaiste an Spioraid Naoimh, Bishopstown, Cork",Coláiste an Spioraid Naoimh,ChIJ9f4d2CmOREgR-jvVpdLinTo,B,61.5,95.9,708,0,15.2,021-4543790,
325,352,"Colaiste Bhride, Carnew, Co Wicklow",Coláiste Bhríde,ChIJ3a-RaGTwZ0gRc_4LGap7TIA,M,38.9,79.1,402,424,,055-26318,CmRaAAAAaY4X5hfgpUQ49i5Hf1lnPQD0LiNbS7KJIh_30wnfzqofZ5TtDSXRmePheYmfEZNosVisrUKKEonIune-BsZUxt3bIOf9Ca4Wv0akxOKzAc2kHRPS_GiLCLtkVIRfzMQCEhAzCzeX9qgIDxL71AMXiYNcGhT_suCviytHKnqv6ZbgkkMFvsENbw
288,357,"Colaiste Bride, Enniscorthy, Co Wexford","Coláiste Bríde, Enniscorthy",ChIJp8I9dY0AaEgRbGeWqnWlz34,G,41,74.5,0,668,15,054-34245,CmRaAAAA5SN9L1V7lDom0ZCKPIJowkyMY7SNdvcmMYo8fRs_rVy_w4EtrJQVyKYP0d7c4rPSUEtXP92PYuQoCnNWlzDUT9hAx6KL2s9xGse1G5xZgTOcorKEnvAIRSqdqaD7cOoYEhA_d8YlxB60jNFXAqVm0L26GhSoBa2VXwESDQyzum2nS0yr248-7A
227,275,"Colaiste Chiarain, Croom, Co Limerick",Coláiste Chiaráin,ChIJI7V3BwZPW0gRj7i5GNOrH-c,M,45.7,74.4,364,414,,061-397700,
205,254,"Colaiste Chilliain, Clondalkin, Dublin 22",Coláiste Chilliain,ChIJcZe3wUFzZ0gR-MlkjgAeTP0,M,47.6,79.8,203,190,,01-4574888,CmRaAAAAgyYwfwigIJzghWGFvkQ4n6WOo6joat5xjrcbzOt5L3x7W2-mdKOLIpG0NW04YIphgcmMWtXa5y99NuNQmDbntK17CTwgVwOx1FiN8d8oCeeulyvM_n8fDPC6KQa-yQQ6EhBPo9Mj337RijyZlNnM0_3cGhQA71_Avl1AwFUMTWXb2yvVPcxPoQ
92,74,"*Colaiste Choilm, Ballincollig, Co Cork",Colaiste Choilm,ChIJvzR5oHKSREgRpkwEt-UtHYI,M,60.8,93.3,686,697,,021-4873308,CmRaAAAAWpXoh3AlEkqd6oWq0CjzhTI8V267R8uPudttHYL3b7ehY8BFQp5ck7wd49E2KCrJQj-Pmy2_fXaGWBoWkTV-a3glCVACFVpjxvSxGDeXDKyJWvqbdMANT8z246HgLKgOEhAp7SBQn03j62J-bb-3Q4o1GhS3NBiZQCCcb7MrbM0LYXHrK27nTg
338,321,"Colaiste Choilm, Tullamore, Co Offaly",Coláiste Choilm,ChIJUWfgx46lXUgR_-vnbJUlvsI,B,38.4,74.7,618,0,14.5,0506-51756,CmRaAAAA9PQPucvtmRDPdE7zwAZ9Zkkc5r2sD0yBSld1CxXs49GRvvjzuNyFJ7dg5sj-M4jo-Yn50dHBURH5-uNetxSeKI7YYQtG6wz5lj_H7em_AAaZ66uaBcrgyeJOIwQvS9DkEhALnKavJcfwt7HmBKiLGQeMGhS_0P1Olg2AvlmF4t_SjkYWqxvlUg
159,263,"Colaiste Cholmain, Claremorris, Co Mayo",Colaiste Cholmain,ChIJI7jtUHb9W0gRN2eWK7mt670,B,52.2,89.1,410,0,14.9,094-9371442,
216,143,"Colaiste Cholmcille, Inverin, Co Galway (G)",Coláiste Cholmcille,ChIJNcxLfPGwW0gRnBg8NnsAZX8,M,47.1,65.7,127,105,,091-593119,
381,,"Colaiste Chriost Ri, Capwell Rd, Cork",Colaiste Chriost Ri,ChIJ6exE8wKQREgRt6SP8REj7Z4,B,35,74.8,642,0,15.2,021-4274904,CmRaAAAAuUCIrsXBn25C8PZ0_6TCyPBtK5HlJOdDi1iYJgHCDA02unf69hBkd9ZDL8s5cngehu-122wf-JV4Ye1kjAc0_HuJDDYtYChEik8_8jDTNHw-vk-TxqCcXmZ_AtAUceLpEhDs5HsmvWt5IlLbkfabXofIGhSnBe2Nbl1mH-eSxgreqpLNiQIaYQ
63,60,"Colaiste Chroi Mhuire, Spiddal, Co Galway (G)",Coláiste Chroí Mhuire,ChIJda1041e6W0gRX_CbB_FttHc,M,64.3,97.5,91,85,10.3,091-553113,
40,25,"Colaiste Cois Life, Lucan, Co Dublin",Coláiste Cois Life,ChIJnW4AqP9yZ0gR8XmCOP4oPSc,M,68.9,86,353,379,,01-6211825,
143,145,"Colaiste Daibheid, An t-Ardan Theas, Cork",Coláiste Daibhéid,ChIJM6uq4ASQREgRGiZEIgOrOEQ,M,53.6,84.3,104,102,,021-4917733,
364,382,"Colaiste Eanna CBS, Ballyroan, Dublin 16",Coláiste Éanna,ChIJX6wDLaMLZ0gRnFOe7dq6A7A,B,36,81.3,612,0,14.9,01-4931767,
