Rank,Previous rank,Name,official_school_name,place_id,Type,% at university,% at third-level,Boys,Girls,Students/staff ratio,Telephone
31,27,"Loreto College, Foxrock, Dublin 18",Loreto College,ChIJv1UijVgIZ0gRf9z4Ak38d_o,G,71.5,99.4,0,561,17.7,01-2895637
32,54,"Holy Faith Secondary School, Clontarf, Dublin 3",Holy Faith Secondary School,ChIJVW-MeacPZ0gRiG5B8ZEvSbI,G,71.5,97.5,0,631,15.9,01-8331507
33,22,"Clongowes Wood College, Clane, Co Kildare (B)",Clongowes Wood College SJ,ChIJgSsqWRh5Z0gRpFH3-vFw4Q4,B,71.3,100,434,0,19.6,045-868202
34,40,"St Joseph's Secondary School, Castlebar, Co Mayo",St Joseph's Secondary School,ChIJR2wof6BdWUgRFuUVUusdRl0,G,70.7,96.1,0,547,18.3,094-9021406
35,83,"Gaelcholaiste na Mara, Arklow, Co Wicklow",Gaelcholaiste na Mara,ChIJfXc-4OLDZ0gR9zdmTvBLkoE,M,70.1,91.9,113,92,,0402-91764
36,50,"Dominican College, Taylor’s Hill, Galway",Dominican College,ChIJnSfJbFGWW0gR3mZfExrwI8s,G,69.4,94.4,0,624,14.7,091-523171
37,30,"Catholic University School, Lwr Leeson St, Dublin 2",Catholic University School,ChIJt9cchZgOZ0gRwW78_VEIEXw,B,69.1,100,469,0,19.8,01-6762586
38,44,"St Andrew's College, Blackrock, Co Dublin",St. Andrew's College,ChIJ07tFM9gIZ0gRd87tXEv6POw,M,69.1,99.1,502,484,16,01-2882785
39,43,"St Angela's College, St Patrick's Hill, Cork",ST.Angelas College,ChIJL2qz3Q2QREgRd5ifr7-tOZs,G,68.9,92.3,0,550,15.1,021-4500059
40,25,"Colaiste Cois Life, Lucan, Co Dublin",Coláiste Cois Life,ChIJnW4AqP9yZ0gR8XmCOP4oPSc,M,68.9,86,353,379,,01-6211825
41,63,"St Mary's Secondary School, Mallow, Co Cork",St Mary's Secondary School,ChIJhxXdiFC5REgR89j1PjVFgtg,G,68.8,90.4,0,577,14.2,022-21998
42,47,"Our Lady's Bower, Athlone, Co Westmeath",Our Lady's Bower Secondary School,ChIJzy9NyQ1JXEgRIui3K80I5WE,G,68.6,97,0,692,14.9,0906-474777
43,32,"Rathdown School, Glenageary, Co Dublin (B)",Rathdown School,ChIJfdBx3CwGZ0gR2xPZc_h2D1E,G,68.6,89.1,0,275,16.8,01-2853133
44,38,"Muckross Park College, Donnybrook, Dublin 4",Muckross Park College,ChIJCTfuK7cOZ0gRb08clmT3ssQ,G,68.4,97.6,0,712,16.1,01-2691096
45,37,"Newbridge College, Newbridge, Co Kildare",Newbridge College,ChIJcdae9vx_XUgROK13eKIlnLg,M,68.1,97.7,446,436,19.5,045-487200
46,35,"St Joseph’s College, Nun’s Island, Galway",Saint Joseph's Patrician College - The Bish,ChIJwaDCa_qWW0gRbdl7NTkKK0Y,B,68,96.5,758,0,15.6,091-565980
47,48,"St Conleth’s College, Ballsbridge, Dublin 4",St Conleth's College,ChIJMzkwBLkOZ0gRA5h-cnVypzc,M,67.8,98,193,45,19.8,01-6680022
48,57,"St Mary's College, Rathmines, Dublin 6",st.marys collage,ChIJzZS7sB0MZ0gRnVtm8nw3UB8,B,67.5,100,443,0,18.3,01-4995700
49,77,"St Francis Capuchin College, Rochestown, Co Cork",St Francis Capuchin College,ChIJ_____yKFREgRgKZ_COyXejY,B,67.1,91.8,659,0,14.9,021-4891417
50,59,"Loreto Abbey Secondary School, Dalkey, Co Dublin",Loreto Abbey Dalkey,ChIJiSqqZ00GZ0gRgMEAiPijJUU,G,66.9,97,0,627,19.4,01-2718900
51,46,"Presentation Secondary School, Listowel, Co Kerry",Presentation Secondary School,ChIJqRzSkwDRWkgRmj0aEapLrnU,G,66.8,98.1,0,308,13.3,068-21452
52,61,"Sandford Park School, Ranelagh, Dublin 6",Sandford Park School,ChIJEw-t4K8OZ0gRtXXrNoS5rUg,M,66.8,95.8,218,101,17,01-4971417
53,180,"Colaiste Ghobnait, Inis Oirr, Aran Islands, Co Galway",Coláiste Ghobnait,ChIJM4ejgC2rW0gRyuAjU3Q9_IE,M,66.7,93.8,15,13,,099-75016
54,64,"Dominican College, Drumcondra, Dublin 9",Dominican College,ChIJEbrJJ1AOZ0gR5O8ek83cGJ4,G,66.3,93.1,0,707,16.2,01-8376080
55,91,"St Gerald's College, Castlebar, Co Mayo",St. Gerald's College Castlebar,ChIJiacn03hdWUgRpMFfErs_nE4,B,66,98,578,0,16.3,094-9021383
56,41,"Regina Mundi College, Douglas Rd, Cork",Regina Mundi College,ChIJT3FD51OFREgRSM6MGK-bZYc,G,66,91,0,555,15.8,021-4291681
57,39,"Loreto Secondary School, Spawell Rd, Co Wexford",Loreto Secondary School,ChIJywLK-1kbaEgRmcVzcARY5dc,G,65.5,90.7,0,718,16.2,053-42783
58,49,"Presentation College, Athenry, Co Galway",Presentation College,ChIJX9rFWhSJW0gRe93uPjJG1k4,M,65.4,94.6,613,545,14.4,091-844144
59,65,"St Mary's Secondary School, Macroom, Co Cork",St. Mary's Secondary School,ChIJPb9-6EHlREgRaiRT4Cfv8VM,G,65,97.9,0,284,13,026-41544
60,69,"Loreto Secondary School, Granges Rd, Kilkenny",Loreto Secondary School,ChIJ9wWO63A6XUgRljM8QXTe8aU,G,64.6,86.2,0,927,16.6,056-7765132
61,79,"Colaiste Na Toirbhirte, Bandon, Co Cork",Coláiste na Toirbhirte (Presentation College),ChIJ57gofzfxREgR3Qa6ey4ooPs,G,64.5,94.1,0,519,14,023-8841814
62,67,"Laurel Hill Secondary School FCJ, Sth Circular Rd, Limerick",Laurel Hill Secondary School,ChIJwUQIzYdcW0gRqdOyM7IGRHg,G,64.5,89,0,625,16.4,061-319383
63,60,"Colaiste Chroi Mhuire, Spiddal, Co Galway (G)",Coláiste Chroí Mhuire,ChIJda1041e6W0gRX_CbB_FttHc,M,64.3,97.5,91,85,10.3,091-553113
64,42,"Castletroy College, Newtown, Co Limerick",Castletroy College,ChIJ3eSNRcteW0gR3CMiFQmYyHk,M,64.3,91.2,628,592,,061-330785
65,34,"Scoil Mhuire, Ennistymon, Co Clare",Scoil Mhuire,ChIJx5nsa9YFW0gRdJM4QsOOGvg,G,64.1,88.6,0,254,12,065-7071224
66,100,"Santa Sabina, Dominican College, Sutton, Dublin 13",Santa Sabina Dominican College,ChIJt05F690EZ0gRoGGvRpEnJuw,G,63.8,92,0,671,16.9,01-8322200
67,58,"The High School, Rathgar, Dublin 6",The High School,ChIJO0CsCvoLZ0gRSa1JGt_S_So,M,63.6,99.7,408,283,16.7,01-4922611
68,70,"St Gerard’s School, Bray, Co Wicklow",St Gerard's School,ChIJnQjIctunZ0gR3VbNOLBwrhs,M,63.4,97.5,350,187,18,01-2821822
69,45,"Colaiste Oiriall, Monaghan",Coláiste Oiriall,ChIJjyxdtMyYYEgR9UVhZztvca0,M,63.3,95.4,107,183,,047-72344
70,101,"Villiers Secondary School, Nth Circular Rd, Limerick (B)",Villiers Secondary School,ChIJ51Dcp41cW0gRslpvo9abeMo,M,63.3,93,254,333,14.9,061-451447
71,66,"CBC, Monkstown, Co Dublin",Christian Brothers College,ChIJY6fZmSMGZ0gR8VaouhFwSXo,B,63.2,97.4,450,0,18.9,01-2805854
72,96,"Gaelcholaiste Cheatharlach, Askea, Co Carlow",Gaelcholáiste Ceatharlach,ChIJY-pleFtdXUgR7ZJXuYLkJvk,M,63.1,85,178,194,,059-9132130
73,122,"St Peter's College, Dunboyne, Co Meath",St. Peter's College,ChIJ6xig1bptZ0gRmVO7lvyOLqY,M,62.9,92.1,585,587,,01-8252552
74,73,"Loreto Secondary School, Fermoy, Co Cork",Loreto Secondary School,ChIJjXHcAj9fQ0gRxPqrfEZ-qag,G,62.9,86,0,622,14.9,025-32124
75,84,"Maynooth Community College, Maynooth, Co Kildare",Coláiste Pobail Mhá Nuad | Maynooth Community College,ChIJ6xfK0uNvZ0gR7Wd-Rs_UlwA,M,62.9,85,583,568,,01-6286060
76,81,"St Aloysius’ College, CarrigtwohilI, Co Cork",St Aloysius College,ChIJ5fJKwUidREgRclnLei-f5zs,G,62.7,87.6,0,765,15.9,021-4883341
77,103,"St Wolstan's Community School, Celbridge, Co Kildare",Wolstan's School,ChIJ23zHCPpwZ0gRadrkAS4ri2M,G,62.5,87.5,0,777,16.2,01-6288257
78,89,"Seamount College, Kinvara, Co Galway",Seamount College,ChIJWYW7HQucW0gRNplOhnHCbEA,M,62.2,82.1,181,222,16.5,091-637362
79,189,"Presentation Secondary School, Mitchelstown, Co Cork",Presentation Secondary School,ChIJbayy6hRXQ0gRUkAuZimnbDs,G,62.1,91.6,0,258,13.1,025-24394
80,86,"St Mary’s Secondary School, Nenagh, Co Tipperary",St Marys Secondary School,ChIJpcU6T1uRXEgRQo8aXSDjQi0,G,62.1,90.3,0,523,13,067-31450
81,62,"St Kilian's Deutsche Schule, Clonskeagh, Dublin 14",St Kilian's German School,ChIJcY7zEjkJZ0gRFHH36MF-f88,M,62.1,88.6,234,138,18.1,01-2883323
82,71,"Rockwell College, Cashel, Co Tipperary (B)",Cashel,ChIJZ-UjDOjLXEgRwOkxl6nHAAo,M,61.6,87,356,121,18.2,062-61444
83,56,"Ardscoil Ui Urmoltaigh, Bandon, Co Cork",Hamilton High School,ChIJs6HMUCj0REgRqBF7KlQdZvI,B,61.5,96.5,379,0,14.5,023-8844227
84,53,"Colaiste an Spioraid Naoimh, Bishopstown, Cork",Coláiste an Spioraid Naoimh,ChIJ9f4d2CmOREgR-jvVpdLinTo,B,61.5,95.9,708,0,15.2,021-4543790
85,80,"Gaelcholaiste Chiarrai, Tralee, Co Kerry",Tralee,ChIJ6WJcGmQ1RUgRfzYwl2PgcWw,M,61.5,94.4,176,183,,066-7121650
86,76,"Colaiste Muire, Ennis, Co Clare",Colaiste Muire,ChIJN2CxzDJtW0gRs8iY5vyknOY,G,61.5,88.5,0,927,16.4,065-6829497
87,106,"The King’s Hospital, Palmerstown, Dublin 20 (B)",The King's Hospital School,ChIJM4yv4NJyZ0gR38vZ__nPLsg,M,61.3,80.6,397,322,17.9,01-6436564
88,87,"Notre Dame, Dundrum, Dublin 14",Notre Dame School,ChIJBajETeQLZ0gRZHwHNyFFXWc,G,61.2,95.1,0,128,12.5,01-2989533
89,93,"Rice College, Ennis, Co Clare",Rice College Secondary School,ChIJE74IJTJtW0gROJW0V1uuTyk,M,61.1,94,387,254,16,065-6822105
90,110,"Colaiste Naomh Mhuire, Naas, Co Kildare",St Marys College,ChIJl5EdVOp4Z0gRZDCA-5sHVVE,G,60.9,90.7,0,"1,012",17.2,045-879634
91,111,"Loreto College, Cavan",Loreto College,ChIJyyK4v-kNXkgRGlmVpNeSZLo,G,60.9,83.2,0,700,16.2,049-4332881
92,74,"*Colaiste Choilm, Ballincollig, Co Cork",Colaiste Choilm,ChIJvzR5oHKSREgRpkwEt-UtHYI,M,60.8,93.3,686,697,,021-4873308
93,72,"Colaiste Pobail Osrai, Ormonde Road, Kilkenny",Colaiste Pobail Osrai,ChIJCcQ1lJ4wXUgR8998mq6VCWU,M,60.8,86.7,112,127,,056-7764557
94,98,"Ashton School, Blackrock Rd, Cork",Ashton Comprehensive School,ChIJq60xs7aaREgRsS6Qx-q1QRY,M,60.7,93.1,282,244,14.3,021-4966044
95,123,"Scoil Chuimsitheach Chiarain, Carraroe, Co Galway (G)",Scoil Chuimsitheach Chiaráin,ChIJ7V0xwapMWkgRXTN2HWoX8Y8,M,60.7,87.9,148,149,11,091-595215
96,68,"Wesley College, Ballinteer, Dublin 16 (B)",Wesley College,ChIJL0kIRnsJZ0gRNN_Bt-RgjUA,M,60.3,94.3,498,432,18.7,01-2987066
97,75,"Sacred Heart Secondary School, Clonakilty, Co Cork",Sacred Heart Secondary School Clonakilty,ChIJ7xZKUOFWREgRWGdxwxo95Vk,G,60.3,89.2,0,537,14.9,023-8833737
98,92,"Kilkenny College, Castlecomer Rd, Kilkenny (B)",Kilkenny College,ChIJmXYslBM6XUgRn2aQABJ-Mus,M,60.2,95.1,436,410,15.7,056-7761544
99,125,"Calasanctius College, Oranmore, Co Galway",Calasanctius College,ChIJbfOiX0qQW0gR9zEHUF-GRFw,M,60.2,93.5,438,412,15,091-794564
100,90,"Pobalscoil Chorea Dhuibhne, Bothar an Spa, Dingle, Co Kerry (G)",Pobalscoil Chorca Dhuibhne,ChIJe1TpCcT7T0gRsMST_Z4Eeug,M,60,83,207,177,8.8,066-9150055
101,95,"Loreto Secondary School, Clonmel, Co Tipperary",Loreto Secondary School,ChIJ71duch4uQ0gRjv6EI5Wf07Q,G,59.7,87.7,0,505,15.8,052-6121402
102,88,"Meanscoil Na mBraithre, Ennistymon, Co Clare","CBS Secondary School, Ennistymon",ChIJF-4VLnYGW0gR8I7iv139Lus,B,59.5,89.7,221,0,13.9,065-7071349
103,109,"Castleknock Community College, Castleknock, Dublin 15",Castleknock Community College,ChIJn_EUeLVyZ0gRBBEWEEzEnLU,M,59.4,92.4,551,604,,01-8221626
104,134,"Loreto Secondary School, St Michael’s, Navan, Co Meath",Loreto Secondary School,ChIJ696ZlbNEZ0gRq38VSLkgvSY,G,59.4,86.9,0,796,16.4,046-9023830
105,129,"Mean Scoil Mhuire, Longford",Mean Scoil Mhuire,ChIJ8UD2_J7TXUgRtIMu5rB25ng,G,59.3,91,0,546,14.5,043-3346608
106,97,"Dundalk Grammar School, Dundalk, Co Louth (B)",Dundalk Grammar School,ChIJbdK7HAPMYEgR5cfQoqc9pIg,M,59.3,90.4,342,218,17.5,042-9334459
107,130,"Scoil Mhuire gan Smal, Roscommon",Scoil Muire gan Smal,ChIJ25b9X7I8XEgRrKE3KVekcqI,G,59.2,88.6,0,560,15.1,090-6626321
108,114,"St Kieran’s College Secondary School, College Rd, Kilkenny",St Kieran's College,ChIJnRVndJswXUgROSEySIA6phA,B,59.1,92.8,767,0,17.2,056-7761707
109,133,"Presentation Secondary School, Loughboy, Kilkenny",Presentation Secondary School,ChIJETlhUpYwXUgRSI2v95ri6FI,G,58.4,86,0,717,16.1,056-7765684
110,102,"Ballinamore Community School, Ballinamore, Co Leitrim",Leitrim County Library,ChIJgz9EsF9kXkgRSua8vkFaGX4,M,58,84.5,158,161,13.5,071-9644049
111,256,"Rosemont School, Sandyford, Dublin 18",Rosemont School,ChIJnSeL45kJZ0gRig6Xpxf4Iw4,G,57.9,93.3,0,143,17.7,01-2078007
112,153,"Scoil Mhuire, Ballingeary, Co Cork (G)",Scoil Mhuire,ChIJf8d05l0bRUgR0TefNrXeW8Q,M,57.8,90.9,52,67,,026-47050
113,105,"St Joseph of Cluny, Killiney, Co Dublin",St Joseph of Cluny Secondary School,ChIJo468x9EHZ0gRslE60lRks4I,G,57.5,94.9,0,318,16.7,01-2855027
114,128,"Scoil Mhuire agus lde( Newcastle West, Co Limerick",Scoil Mhuire agus Ide,ChIJlQXGaPMxW0gRt9tukipis3A,M,57.5,87.8,289,300,18.6,069-62443
115,176,"St Anne’s Community College, Killaloe, Co Clare",Saint Anne's Community College,ChIJmagn7_GeXEgRJ4XoYK-9d0g,M,57.5,84.3,262,298,,061-376257
116,157,"Eureka Secondary School, Kells, Co Meath",Eureka Secondary School,ChIJrR0Hn0hbZ0gRDdg7X2JcfAg,G,57.4,86.9,6,659,15.4,046-9240132
117,162,"St Brigid's Secondary School, Killarney, Co Kerry",St Brigids Secondary School (Presentation College),ChIJSXIWPwY8RUgRm40U210ND4k,G,57.4,86.3,0,531,15.9,064-32209
118,119,"Pobalscoil Ghaoth Dobhair, Letterkenny, Co Donegal (G)",Gweedore,ChIJrQE7wKGCX0gRbARO9zcYvbk,M,57.3,94.9,203,196,13.9,074-9531311
119,164,"*Ennis Community College, Ennis, Co Clare",Ennis Community College,ChIJn9fOCM0SW0gRSMqTtM7CrF4,M,56.8,86.3,217,191,,065-6829432
120,107,"Mount St Michael, Claremorris, Co Mayo",Mount Saint Michael,ChIJFVQUWm79W0gRvQ4d_bTqJZE,G,56.6,82.8,0,465,15.3,094-9371474
121,132,"Ursuline Secondary School, Blackrock, Cork",Ursuline Girls Secondary School,ChIJPW1Ddc6aREgRUkzMekpR5s0,G,56.3,77,0,219,10,021-4358012
122,115,"Our Lady's School, Terenure, Dublin 6W",Our Ladys School,ChIJxbjr1ZELZ0gRzCsIoxUOgsQ,G,55.9,91.8,0,760,15.9,01-4903241
123,82,"Midleton College, Midleton, Co Cork (B)",Midleton College,ChIJnXiGRy5jQ0gRKVIyBTydaGs,M,55.9,82.1,233,184,15.9,021-4631146
124,168,"St Fintan’s High School, Sutton, Dublin 13",St Fintans High School,ChIJd_Nc6SMFZ0gReIvr5-tzH4w,B,55.8,89.2,706,0,16.4,01-8324632
125,126,"John The Baptist Community School, Hospital, Co Limerick",John the Baptist Community School,ChIJfbGyCulVW0gRDZzUb0UNN4A,M,55.7,88.4,513,494,14.9,061-383283
126,121,"St Louis Secondary School, Monaghan",St Louis Secondary School,ChIJPw7LHESfYEgRcsLAyI-4pW0,G,55.6,83.5,0,529,16.9,047-81422
127,33,"Colaiste Ailigh, Letterkenny, Co Donegal",Colaiste Ailigh,ChIJbzwbn0jrX0gRoDqzZOQTdDI,M,55.6,82.9,131,141,,074-9125943
128,113,"Presentation Secondary School, Tralee, Co Kerry",Presentation Secondary School,ChIJH5E2Z05SRUgRY1Q3WLyhNsE,G,55.6,82.7,0,647,14.5,066-7122737
129,94,"Scoil Phobail Mhic Dara, Carna, Co Galway (G)",Scoil Phobail Mhic Dara,ChIJ28nUxhtIWkgRU4djdrrm1Vo,M,55.5,77.8,43,44,5.6,095-32245
130,108,"St Louis Secondary School, Carrickmacross, Co Monaghan",Bun Scoil Louis Naofa,ChIJZ50BNSmyYEgRYRDJprFLrP4,G,55.4,88.5,0,589,15.6,042-9661587
131,127,"St Vincent's Secondary School, Dundalk, Co Louth",St Vincent's Secondary School,ChIJF0kWdJ_OYEgRLUHkNEgXInc,G,55.4,88.4,0,917,16,042-9332790
132,147,"St Mary’s Secondary School, Charleville, Co Cork",St Mary's Secondary School,ChIJhxXdiFC5REgR89j1PjVFgtg,G,55.4,78.6,0,380,13.4,063-81877
133,193,"CBS, Mitchelstown, Co Cork",CBS Mitchelstown,ChIJq3SICBNXQ0gRI-OtTrTFDWI,B,55.3,88.4,310,0,11.3,025-24104
134,135,"St Augustine’s College, Dungarvan, Co Waterford",St. Augustine's College,ChIJFxjZWGkYQ0gRlm6BCBDi_gU,M,55.2,91.7,367,347,16.3,058-41140
135,99,"Christ King Girls' Secondary School, South Douglas Rd, Cork",Christ King Girls Secondary School,ChIJ2YB9S_yPREgRIStAVE5_fdM,G,55.2,80.8,0,903,14.7,021-4961448
136,186,"Scoil Mhuire, Trim, Co Meath",Scoil Mhuire,ChIJ_YIPtxteZ0gRDOJgwEOo4d4,G,54.9,86.7,0,772,17,046-9431439
137,149,"Gaelcholaiste Mhuire, North Monastery Rd, Cork",Gaelcholáiste Mhuire,ChIJd_pvhGyQREgRBNtKjLKqtyk,M,54.8,95.9,309,212,16.5,021-4307579
138,163,"Presentation College, Tuam, Co Galway",Presentation College,ChIJLfUnfLX2W0gRzzV0j36NSX8,G,54.3,74.9,0,434,14.4,093-24575
139,172,"St Joseph’s CBS, Nenagh, Co Tipperary",St. Joseph's CBS,ChIJMauinFyRXEgR6mIumy8H_tY,B,54.2,87.7,535,0,14,067-34789
140,358,"Colaiste an Eachreidh, Athenry, Co Galway",Coláiste an Eachréidh,ChIJ8brukBaJW0gRyAEIiYw-ANQ,M,54.1,73.5,94,84,,091-874590
141,213,"Colaiste Raithin, Bray, Co Wicklow",Colaiste Raithin,ChIJs097PG-oZ0gRzMI7lo5ne3M,M,53.7,88.7,132,135,,01-2760288
142,155,"St Peter’s College, SummerhiN, Wexford",Saint Peter's College Secondary School,ChIJrbzUybEPZ0gRxIduSWzoC90,B,53.6,90.4,773,0,15.9,053-42071
143,145,"Colaiste Daibheid, An t-Ardan Theas, Cork",Coláiste Daibhéid,ChIJM6uq4ASQREgRGiZEIgOrOEQ,M,53.6,84.3,104,102,,021-4917733
144,116,"Scoil Chaitriona, Glasnevin, Dublin 9",Scoil Chaitríona,ChIJBwXZZXIOZ0gR_EPT9uMQNL8,M,53.5,77.8,175,238,15,01-8370762
145,104,"Sacred Heart Secondary School, Tullamore, Co Offaly",Sacred Heart School,ChIJzTVF1JqlXUgR3PN0Ly1KJnY,G,53.4,85.5,0,638,14.8,0506-21747
146,151,"Maryfield College, Drumcondra, Dublin 9",Maryfield College,ChIJHes9v0YOZ0gRVi-0ty5whoQ,G,53.3,93.5,0,672,16.7,01-8373574
147,78,"Stratford College, Rathgar, Dublin 6",Stratford College,ChIJTf7MoOGZXUgRwRXybUQwW0w,M,53.3,83.2,66,54,9,01-4922315
148,117,"Meanscoil Gharman, Enniscorthy, Co Wexford",Meanscoil Gharman,ChIJFeld6QMBaEgRNtHv5QvmPpQ,M,53.3,80.7,96,111,14.3,053-9235796
149,185,"St Joseph’s Co lege, Lucan, Co Dublin",St Joseph's College Lucan,ChIJBec_PvByZ0gRKEabUbbEjtA,G,53.2,83.3,0,866,15.9,01-6281160
150,214,"Mount Temple Comprehensive School, Clontarf, Dublin 3",Mount Temple Comprehensive School,ChIJf41O4k0OZ0gR4JrV1ImtDfs,M,53.1,84.9,454,442,14.8,01-8336984
151,85,"Colaiste Ghobnatan, Ballymakeera, Co Cork (G)",Coláiste Ghobnatan,ChIJPWX3ThgeRUgRIb4R_CYWtIU,M,52.9,82.6,116,94,,026-45058
152,210,"St Mary's Secondary School, Newport, Co Tipperary",Newport,ChIJC46tDKahXEgRcBgyl6nHAAo,M,52.9,81.9,264,245,16,061-378344
153,146,"Gaelcholaiste Reachrann, Donaghmede, Dublin 13",Gaelcholáiste Reachrann,ChIJH00PjFEFZ0gRKKm9HJIJmgI,M,52.7,77.6,168,201,,01-8770935
154,199,"St Angela's Ursuline Convent, Waterford",St Angela’s Ursuline Secondary School,ChIJow_TgB3EQkgRGKuWvnpfHNQ,G,52.6,95.7,0,906,15.9,051-876510
155,118,"St Joseph’s Secondary School, Miltown Malbay, Co Clare",Quilty National School,ChIJrwbtUNYCW0gR_IPmS0I1JHc,M,52.5,77.3,159,136,13,065-7084311
