Roll Number,name,official_school_name,website,Address 1,Address 2,Address 3,Address 4,Address,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Placeid,Lat,Lng,Photo Reference1,Photo Reference2,Photo Reference3,Photo Reference4,Photo Reference5,Award Title,Project Title,Project Category,Student(s),Award Title2,Project Title2,Project Category2,Student(s)2,Award Title3,Project Title3,Project Category3,Student(s)3,Award Title4,Project Title4,Project Category4,Student(s)4,Award Title5,Project Title5,Project Category5,Student(s)5,Award Title6,Project Title6,Project Category6,Student(s)6,Award Title7,Project Title7,Project Category7,Student(s)7,Award Title8,Project Title8,Project Category8,Student(s)8,Award Title9,Project Title9,Project Category9,Student(s)9,Award Title10,Project Title10,Project Category10,Student(s)10,Award Title11,Project Title11,Project Category11,Student(s)11,Award Title12,Project Title12,Project Category12,Student(s)12,Award Title13,Project Title13,Project Category13,Student(s)13,add
60930L,Rosemont School,Rosemont School,rosemont.ie,Enniskerry Road,Sandyford,Dublin  18,,"Enniskerry Road, Sandyford, Dublin 18",Dublin,D18A8N2,12078007,info@rosemont.ie,MS. JANET DEAN,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,150,,150,ChIJnSeL45kJZ0gRig6Xpxf4Iw4,53.260958,-6.226769,CmRaAAAAsRwNbl47_fiPnVYovW3kwHhhG-AC7HYhJCM5lqoS6odNgMTzkklv8k-5Gp92yj26L40a70CcuOlnKbIUeJV7rcdtrLAhJA7sFhru8dwahTq9ZCxIGfE-NMQNydk3A9S2EhC65d-jaUn33oKCH3eRtvvMGhTEMAyk9XIx6gOxQ_OtC_VD9kMo0A,CmRaAAAAzzEKZSiM4n44L2ShMK3ta6kkmU4SBeUxcvxRAwN0FKWWJYFwPw1Rp-MbgjvHYHYAMlA26AIcPrtT1BNFz4Km2QWRIlcRWuhiHkFLMAKKkz-gt2O2oIpu58LV1WZZMZdoEhDAAhulH2nyV5dckeszMxXrGhRSmQpzC9QdnU1y7NhQ1GFgntvucg,CmRaAAAAlH9D89SqeGBwTF-d-5nMHfEWhSwm9bfH2cX6p9TF6cTKT4H-PDlY-jI3OYViix5JoZRqd-QFBKYHxp3eZP705vBjp__fg4HnWaTT6Vf4bKqmny85FThO4IEz26zf5ZlfEhAwYquj0DQ0bJh5LmOXBR8xGhTmHX0UFFTcZaWTPnOA6VYGXOsdpg,CmRaAAAAP4Ox2thcINlXi4guOPzXC_Ylw_Ym5DOv0kB-Z0SLzc0kPVhm80FW_lSr_UPvO9W8E2PekKCThX7mO4nFLrWTA3KZoczrGfPDQ5O9gT1pNYTAzb4q_GJh3bcKredKd4ApEhArj9AXB44LUucaxjrscrVZGhSih_iK-bBfdUY5zxvDJnm55zWqeA,CmRaAAAAavVQpx6fHtjumJpBWh1x6SNaljfp-aqgS_mLWCG2v4R7DQMxU2v-dBrUAWgN5n6tzHoliG9_6R1LLEi05mXg5LaJbmoYmIr4Rg-BMzCNqBQcKOFd5GDxn3M6f4d8iRcvEhDkVWXbeD_alfpDWJJcCnWFGhT0p2VvfcI0E7lUsjUuARfoD5klLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60991I,Our Lady Of Mercy Secondary School,Our Lady of Mercy Secondary School,olmdrimnagh.com,Mourne Road,Drimnagh,Dublin  12,,"Mourne Road, Drimnagh, Dublin 12",Dublin,D12HT22,14554691,admin@olmdrimnagh.com,MR. PADHRAIC GIBBONS,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,150,219,369,ChIJlWpdcmAMZ0gRlPTwl622djI,53.3307204,-6.3195953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61010U,Wesley College,Wesley College,wesleycollege.ie,Ballinteer,Dublin 16,,,"Ballinteer, Dublin 16, ",Dublin,D16NX73,12987066,info@wesleycollege.ie,MR. CHRISTOPHER WOODS,N,Mixed,Mixed,No subjects taught through Irish,N,Y,METHODIST,Open,431,476,907,ChIJL0kIRnsJZ0gRNN_Bt-RgjUA,53.2784814,-6.2419563,,,,,,1st place Senior group,An Investigation into what Exercises Can Improve the Accuracy of a Person’s Peripheral Vision: A Case Study of Rugby Players,Biological & Ecological Sciences,"Sara Rafter, Abby O’Sullivan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61020A,Stratford College,Stratford College,stratfordcollege.ie,1 Zion Road,Rathgar,Dublin  6,,"1 Zion Road, Rathgar, Dublin 6",Dublin,D06T9V3,14922315,admin@stratfordcollege.ie,MS. P. GORDON,N,Mixed,Day,No subjects taught through Irish,N,Y,JEWISH,Open,67,76,143,ChIJTf7MoOGZXUgRwRXybUQwW0w,53.3097595,-6.2743579,CmRaAAAAp3Y8ymKlyiM3nCBIvoIxTEadGsOVbfW6nQS6pjAHN8OO4bX0XZ1jBvxfezVh45bghDyWjXZxpjkZIHlVw5gIcSFAJVYsMl62-hvW095qhKp86SFx6XAPDZczCbVzkPdUEhB2PzSAW8FssJPe0zhfABvoGhQiKPQEKJoP3XZ2VulNh3CChGQ4bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61051L,St Clare’s College,St Clares College,saintclarescollege.com,Ballyjamesduff,Co. Cavan,,,"Ballyjamesduff, Co. Cavan",Cavan,A82NT92,498544551,stclaresbjd@gmail.com,MS. TERESA DONNELLAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,337,294,631,ChIJwfpi5KviXUgRmyDCNWjpJ0c,53.8653275,-7.197611,CmRaAAAAQMQu3XXSjF1fLm80xqhpJeAA3he6YhhKE8FpKD1GPhl5_oIP0MNj9ZfSd5Ve_wMQtfua7b8KhPWsF3YYAO1Qc4cKK5wdDCHktySNyeui5oxOJdyPmiqLFZW9eonMEbv1EhCdga-WfJpu2PT7BYF7OfGPGhQlVBIrwsXOAFhmUXUBSVm1mKRyQg,CmRaAAAAhvxz8Tn5nS2igPAUb7FGsN_c9peWHfeSyF_LTuUJS_Ha-Y6-91_T5E9l0MifHf0tTfJGJ0AEkppLictrBPlHRw4ki-INTlIxIthGOit7713xvegACESOLlomDhUUBgZeEhConWMKT1K-bY-a03Btfb6IGhSz8sT-GllJ73s7ckN-i7SDQi5gyg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61060M,St Patrick’s College,St Patrick’s College,stpatscavan.ie,Cavan,Co. Cavan,,,"Cavan, Co. Cavan",Cavan,H12K827,494361888,info@stpatscavan.ie,MR. CHRISTOPHER ROWLEY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,690,690,ChIJdSs3Q98NXkgRIsvvtI7hLZI,54.0097605,-7.3516469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61070P,Loreto College,Loreto College,loretocavan.scoilnet.ieblog,Cavan,Co. Cavan,,,"Cavan, Co. Cavan",Cavan,H12WV60,494332881,office@loretocavan.ie,MS. MARY ANGELA MC GARVEY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,687,,687,ChIJyyK4v-kNXkgRGlmVpNeSZLo,54.0130653,-7.3739862,CmRaAAAAXpp3VMbSTortNUJSjHs5Wl6_zVJFXdMv5qwRedKrlmvN8-8aq1Ds0Pkod8rsUZUGKO4Ty9pAnTt2xGGU7ckhJCm863ddXuaxvhCdFM8W6WNWOpDVvp4BNpELDENIr85WEhD1lFBC0sTLgVLn-5a6IXvjGhTGKsxiChZu84Z51pgmKYLsrKZpBQ,CmRaAAAANkz6O04a7nVeQLa7edqvf9z-rwl6P4suSILYewcsmIQiVSjucs3T3EVRPcwkczcGsG7k_gTnVLucg5ZY1FFveTIQdE0HM2EYamYAkj3eG6PBsBs9T-ajnkBVNzkSBLs2EhBHmkpd7-9DxJYK_zAi8TlgGhQlVpYrD4AFxvQpWWC6cH0-JHNnNA,CmRaAAAAOEBRsvifpiA8VTacyNXj-c-BQf6mLYKnSyj_-2WKjxj1CZU2bJcEQRbZj0-SOhqipqvVjGEJqUGOgP2yr43gWn9SgSAyo_SRRRQs0l9kA7ilhdhNJz-pIPX3sSnVCZ_nEhBheM9mVateqioBHXOTG-2cGhRoJxWxuDYgWm5xax2gA08q8LK8wQ,CmRaAAAAuBRiGAFOgcZhFGT979RCyIP7ZGatNR_Md_ziS40hPJ0Eg_Nnd2fbTaHeJxI63vSGK4dR8HfRUYxmW9816klV6pWlbuVhKfCDe4uw0u-VkE_C-bP1QU6VmepD7P2I2uBHEhAY6R__cJN4kwE5HyTv3CeIGhQhZ1NHO5NetFOX4xiifg6TG18fJQ,CmRaAAAAFo8h0NKlHrr5JwBSn_rTxrMu1kfQ7BQSk5WDoZm9eK1esNjdZNEIcyFD-F7trULekHvwZ6SOOXynA0cIyP30FLS5gCNG4wPa0mHUY6-DuLr-Vz5VM7Ql-BDLCHCka6REEhAdI99wV9ocReuLcpZBS4SgGhRL0eLdEYJWtanW8deNyBvJ01oiBQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61080S,Royal School Cavan,Royal School,royalschoolcavan.ie,College Street,Cavan,Co. Cavan,,"College Street, Cavan, Co. Cavan",Cavan,H12AY10,494361605,info@royalschoolcavan.ie,MR. EDWARD LINDSAY,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,99,119,218,ChIJWWwc8TEMXkgRC-bhBentKdk,53.9844935,-7.3617566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61120E,St Mary’s Academy CBS,St Marys Academy CBS,cbscarlow.ie,Station Rd,Carlow,,,"Station Rd, Carlow",Carlow,R93DD88,599142419,principal@cbscarlow.net,MS. ANNE B.T. AHERN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,549,549,ChIJSWLWBg1fXUgRC07H05nHO3Q,52.8411987,-6.9234051,CmRaAAAApMfpGQCbKcrrhxqjAzNmCALjURJw7FFdANdSVJPRinL9HnHGZ2qfZ1DlFX_FrcSOyHSsj8OS6s4Sm5IISJsvKMMgqP0W4RmInq2DYWh6-IqutOLbTnL8uPdXuM7mSqTdEhDftTK4EFZqZlSJEAaZL9WtGhRDL3ssFp2oFBaiTq1w6Nwh3HC5HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61130H,St Mary’s Knockbeg College,St Marys Knockbeg College,knockbegcollege.ie,Knockbeg,Co. Carlow,,,"Knockbeg, Co. Carlow",Carlow,R93RP78,599142127,knockbegcollege@eircom.net,MR. MICHAEL CAREW,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,429,429,ChIJV5No3XRoXUgRvyMjnbCtfbA,52.867315,-6.9377338,CmRaAAAA8uCBKxyUwaAboyJM4DcaY6SSRSftxD7UzGqhrbNalrtgK4SVNoTNwa3UTnnW11lGU3XifJ1N89S8pdvybjhP_9xtrD4rMwD9n-C3Q5jyXN7Yt3_zOg6LzwUm3mI6trNpEhCQlJxdW3ZuhhNz39Q60qiPGhRFbTehTv9IgmSmpa0-QjyI44hSSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61140K,St. Leo’s College,St Leo’s College,stleoscarlow.ie,Dublin Road,Carlow,,,"Dublin Road, Carlow",Carlow,R93PW84,599143660,cryan@stleoscarlow.ie,MISS CLARE RYAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,1040,,1040,ChIJ85hjRVZdXUgRV2YR3YBxYmU,52.8400566,-6.9273233,CmRaAAAAf3C6HcRlQFyafUYOTGMiJFxIX8ziyhw8iiQ7rbgupMKkmJ6rFkcgB3bAyu3F6UWceKnA4JwEL_TfXHu5x8GAiZdKgNsTV0qKxcnDoV-px9szecECZTIPYbz_-8IaP2qTEhBnmWw8-J9xUeiadeTm3gz-GhQ18Ns6efKWDs3iCGw85sFCRKMH6A,CmRaAAAALrXWbQTMOTgaItR-X4dPPGcek-iZLgBxT01-g1Fz-91wwkbva4xC_vescqmWO-d3tEw-Ypup7EEu1el8mhLODQzdIlPzrKzzUkv33rA6hZ4lfTy-v0HT9HApX11EnjhcEhBmRvYUeOGiN8u6K2Na9WPbGhQDU7CqAP_OKnWIAj6CfwOy65akag,CmRaAAAARJQcxbtBvMZzH-mVoghRdaYr_yWSNWNwscHLHt3G8R984qfO2ND3N7nIX65-Zhg1D0gEFI02cSFK05ZFrq5AFbK0YvtwKSRZOkVPb14BYtrBb91swPjs3GPQ2p9-DoRbEhAwsyiyB820PsDauy9xw3yMGhQ-hzTzAi4N7e7oPBQOGb9gKrhKYQ,CmRaAAAAsZN5fQHuvCDimWP8ugWNsc2LZd1w0xEJnFSkaRSCb-5WYd8y4xK0IqlxTVeu83QWm5EvpxTwsPdCFnIZ8gPKaVmK51_Ebklnp-vZq6eN05rC2_GiT8EuQxfLr2UiPriwEhB9x-ZLlzbYGCESXFhyU2ApGhSiBNL1S0qAAQ6JyIPecWUTCPtCow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61141M,Presentation College,Presentation College Carlow,presentationcollegecarlow.com,Askea,Carlow,Co. Carlow,,"Askea, Carlow, Co. Carlow",Carlow,R93F298,599143927,info@presentationcollegecarlow.com,MR. RAYMOND MURRAY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,416,372,788,ChIJ6WgzMVxdXUgRcI4AHqcQOXA,52.838771,-6.90775,CmRaAAAACIBcqvZOLuw14A3L5Po_wyz9rsIERCtHyJY79f4ULC67va2RVv6-L7GklcnSvL768fpOKJUinzabFYdtPG-2Iu9qA-mudWRzIMFVeWglqVxig6a44-pFMrmpQDBQwS_YEhDw37uZz_k9f1egfe5Y1i4_GhQNKSiOr9YD7-wgO7LzfNs65t0-5w,CmRaAAAA-q_0QFVoJYmJjneeGfArb2iWxwbhKRkrFqSNPchjjKhN81OTj21fTrrLixrx6CJPBtfSz6FXto7E-oRoWm3d9SYqqhjBbkCvnIEsXXs5NuBab-RnL2AW7NyzcRhGHbI1EhAWjmlIbxXc_0EXdNeRAJ8iGhR3URkhaDAKoVl-A6nA5jg9NSsnOw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61150N,Presentation / De La Salle College,Presentation De La Salle College,pdlsbagenalstown.com,Royal Oak Road,Muine Bheag,Co. Carlow,,"Royal Oak Road, Muine Bheag, Co. Carlow",Carlow,R21X096,599721860,info@pdlsbagenalstown.com,MR. JOHN KEANE,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,333,358,691,ChIJG5WjYrpFXUgRQSKOC7JQPqE,52.7009046,-6.9701113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61220I,St. Joseph’s Secondary School,St Josephs Secondary School,sjsb.info,Doon Road,Ballybunion,Co. Kerry,,"Doon Road, Ballybunion, Co. Kerry",Kerry,V31RT61,6827205,principal@sjsb.eu,MR. JOHN G O'DONOVAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,167,164,331,ChIJi62FXc3FWkgRtX2O0MYu1UA,52.5204097,-9.6718179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61250R,Meanscoil Phadraig Naofa,Colaiste Phadraig Naofa,rochestownns.ie,Castleisland,Co Kerry,,,"Castleisland, Co Kerry",Kerry,V92PY65,667141963,stpatricksss@gmail.com,MR. DENIS J O'DONOVAN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,203,203,ChIJM2hkHAYuRUgRc6guH4E7XoM,52.2345409,-9.4578999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61260U,Mean Scoil Naomh Ioseph,Presentation Secondary School Castleisland,presentationcastleisland.ie,Clochar na Toirbhirte,Castleisland,Co Kerry,,"Clochar na Toirbhirte, Castleisland, Co Kerry",Kerry,V92KC97,667141178,presconvent.ias@eircom.net,MS. KATHERINA BRODERICK,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,213,,213,ChIJp9gLfAQuRUgRyqPyYPMfLug,52.2302027,-9.4624887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61301I,Coláiste Íde,Coláiste Íde,colaisteide.ie,Baile an Ghóilín,Daingean Uí Chúis,Co Chiarraí,,"Baile an Ghóilín, Daingean Uí Chúis, Co Chiarraí",Kerry,V92E432,669151211,info@colaisteide.com,MISS ÁINE NÍ CHEARBHAILL,N,Girls,Boarding,All pupils taught all subjects through Irish,Y,N,CATHOLIC,Open,101,,101,ChIJs1n3egH7T0gR2witLV4NoMg,52.1271115,-10.3052475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61320M,St. Brendan’s College,St. Brendan’s College,stbrendanscollege.ie,Cill Airne,Co Chiarraí,,,"Cill Airne, Co Chiarraí",Kerry,V93FP49,646631021,admin@stbrendanscollege.ie,MR. SEAN PAUL COFFEY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,748,748,ChIJk91_awc8RUgRJK9dvGcUY-Y,52.0610117,-9.5169263,CmRaAAAApe-v9fFNAOTe4b16eC1nXSYxsLbvZYlwI_LJfWdKMBfOrDz1fflO3l46kogxnJor66hszedRiUBhPkiB6oIXzQdiGV_4edPtlHPeL7oM2PJS1FWJ8FzGKetZt2dQicmKEhCMkOS7qBqmumAXYBF7vELfGhRQTnPYFaxfgLiOguWBROsEEUN6JQ,CmRaAAAAP83KUil3OCLj4Nw-HyPjvsZzOX23BB61dvirSvIuaYHwYRATLf8ziDA0PRUtdysjFZ52Nx6w4XMIVbbyN0IPx5-Yi2auaD4S6Xhr_q9zoi4_zI4dsju2_nklBq9apAK4EhBLhe1DfSJ-klV-gZGfYAIPGhT2NEMVr4Shf15lmARyowq61qUDwg,CmRaAAAAyOZ2iPSjjLLNWr70mxHgaiJzaXrxgRWdPJyxcZP9kb_xJj7RpEPFVSpUcc6MMUOEbJEtuSnKLjdvj0pUOskfORw1vJkretTKNxwVeRr-lPsCeeI5XRmoN7-phA3ZXl78EhC40yQE26tm__TkKxzgJfpaGhRSFeCxnkTlcR5f8_-YYH2YBPcxUg,CmRaAAAAth-UnEyscAWin_SAbYBaCfVTuV0nwb6zfmM0zLGqZb1A5qaZylmdKB4cJZZIhHN183lewPljKBdv4_p8Q_SXjWs18FWjTql6KJWN7FlzCGLIv2D3gpvAaDDpH9qMzrbDEhCvCXeBrlyq-wRGzQjqBSh0GhSDDSJ70RDfFC21RYPLB_OLvFdaWQ,CmRaAAAAisvdvmukjzfYiVemLUnDhPOmKLcOjuOiBz_ey5UefO35Rv_j44wrpcsJFB2TvKXIKuwZgubeFW7C4il3YVuciLSvSI6KcrAqyx0xH7sm8UnmIKHiZfUW97vSJ8DoC8O-EhCOsnmU4bJf7k1RpOg4Tfm4GhRt3EPqxizRGrXtyHpy6podLa4cIg,National Parks and Wildlife Services,Using science to reduce collisions between deer and vehicles,Biological and Ecological,"Darragh Fleming, Colm Looney, Ethan O’ Neill",Overall runner up (Best Group),An Investigation into conformity and how minorities can influence it,Social and Behavioural Sciences,"James Knoblauch, Harry Knoblauch, Oran O’Donohoe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61340S,St. Brigid’s Secondary School,St Brigids Secondary School (Presentation College),stbrigidskillarney.ie,New Street,Killarney,Co. Kerry,,"New Street, Killarney, Co. Kerry",Kerry,V93ND79,646632209,info@sbk.ie,MS. ROISIN MOORE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,572,,572,ChIJSXIWPwY8RUgRm40U210ND4k,52.0587325,-9.5163188,CmRaAAAAvHii8bEF3xXd8H90kNom-r9AUNG0EElvZ5GzjkNR4wAcNdR5XijMC7rFj-daPxlFwwZdDzj8U8bOtrQ1gGVv-Mtj4o9ozsSsRclrOQhb1TYXlHvao-owWPqRr9SPynwkEhAlakylW3k2TavBjYUcuH_AGhRzBIGZcYAXy2_pUG_QaVvOYZ2A-g,CmRaAAAAJr1agWYT9IjCHKTmzyKHN3NRzPZbH_u2uG2K-rKXLpzLLVrBpqCiaCHPC84uuQICC7hbRIzxwdyET3upTdqrgt8KzJYP3eZ2UOtN1hcFbQOPFc_T6ekSnsXR2NTUnwF0EhCIW23hygLzyQOpguWHRBaZGhTQxIfU5OKE1iWL_7MLU1p_SjtfCw,CmRaAAAA-FQbtJB3MHIeLwRB6s3qFv1ZSpuSY3vYfXeNrjOy_LlP2k--VbGCl4W_xXn4RgtC8SXlZ2DDNY_filoY_ZUSFqwsuChMjB6hWgerOW0qQYuE4__b-rciox5jq60mZLIMEhBtG1hs8xOzhtgGl4_nyv_gGhSV6cGrjBg2u1BFpxXPLVtUjZBAFw,CmRaAAAAEr9z363jtpjRVtrS73HIRVPI2BSsYoNuXJUcZxdlwRJb2r3vK3xNnKjIaovepx_M66pIbtOm9r9UarXrHC0xqD8zUzp40AO_4G4iqmYRph6iyPrCtCYQef6yhyNC8sQyEhDOyDnKmEfKxbdjQvwKduhdGhSF4jIc4eW31CJdjdGoBN7SWAnchA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61360B,The Intermediate School,Killorglin Intermediate School,isk.ie,Iveragh Road,Killorglin,Co. Kerry,,"Iveragh Road, Killorglin, Co. Kerry",Kerry,V93NV09,669761246,iskadmins@eircom.net,MR. JAMES O'DWYER,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,266,244,510,ChIJ3d3QuOtFRUgRm2vM4rCuBP4,52.1070849,-9.795216,CmRaAAAAUw9g9k9v4RF9hVewWzF9pq4W736ydiSs6wnvlheZz60UAGAeZ28qXeylg7L-oO9ReM3xb6m8e-BMY_Vuw7aHRerssxMv9WiIOGPpjyS3fN_wTWM1oGvW-R8IUeH5g_dUEhAdNr4QjHMifCwaSkBl3dA_GhTTvBfoV-hAhhRtJdSFvc_WIlYVEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61370E,St. Michael’s College,St. Michael’s College,stmichaelscollege.ie,Listowel,Co. Kerry,,,"Listowel, Co. Kerry",Kerry,V31DX31,6821049,smcadmin@eircom.net,MR. JOHN MULVIHILL,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,266,266,ChIJFdvUcgPRWkgR4YEgDrZvwTo,52.4475421,-9.4760996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61380H,Presentation Secondary School,Presentation Secondary School,presentationsecondarylistowel.ie,Listowel,Co Kerry,,,"Listowel, Co Kerry",Kerry,V31V520,6821452,office@presentationsecondarylistowel.ie,MISS EILEEN KENNELLY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,321,,321,ChIJqRzSkwDRWkgRmj0aEapLrnU,52.4471404,-9.4929024,CmRaAAAAC3gHSWq779AoGUbrkXfCvsilZrYz_-L2AHtlHSawGKHRwPzb1Y_lCkbgZA7XPuOrPG8HXFKEjwFXdIjE2EqYg-jhTcGiUeJFnIVQv4uWv2DbyN5KZVlBqyUsp_fzfS8_EhCps_lboYfOuxkMR-p5pEp5GhTwKMj8z7Z6jhJpeaedKtOgM1Cbrw,CmRZAAAA1tCUbWTANM6sfYmGr25DsFM4ByNc9vvIMwtnIu5-hunW6Z8MJY9e9b_BQ4U2BkMzzs-4fr3oPgXWKgi002kWfKAIr_dBZhxIjaDGR5ugKJDZ8qShJXWL2SXMWmdSNr4TEhBMXaul9t2oMBwOzjBlCeRbGhTk9_LzWW0N_7Ep3Zx-rVujz_SSsQ,CmRaAAAA-ixWYH2rcaiRGc5ZeBGjCy7Wub9AAYgWDaiJOHUaMF4NskXlzE45VffZebPHO9h7isSLbOTw-5mcMOUKLHA3SK9ZmLsoQE5Dofq9acmPydAui7EAKoVwmoWKDkf-ubmkEhCOqPpRegE1km1DZ7AzTvstGhQ8qtVW6J2vWAlmnnqGyQWyRxN2IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
61410N,Presentation Secondary School,Presentation Secondary School,presmilltown.ie,Miltown,Killarney,Co Kerry,,"Miltown, Killarney, Co Kerry",Kerry,V93DV79,669767168,office@presmiltown.ie,MRS. KERRY HARKIN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,324,263,587,ChIJ7zVqI2VIRUgRsLue62N5sto,52.1445954,-9.7160365,CmRaAAAAC3gHSWq779AoGUbrkXfCvsilZrYz_-L2AHtlHSawGKHRwPzb1Y_lCkbgZA7XPuOrPG8HXFKEjwFXdIjE2EqYg-jhTcGiUeJFnIVQv4uWv2DbyN5KZVlBqyUsp_fzfS8_EhCps_lboYfOuxkMR-p5pEp5GhTwKMj8z7Z6jhJpeaedKtOgM1Cbrw,CmRZAAAA1tCUbWTANM6sfYmGr25DsFM4ByNc9vvIMwtnIu5-hunW6Z8MJY9e9b_BQ4U2BkMzzs-4fr3oPgXWKgi002kWfKAIr_dBZhxIjaDGR5ugKJDZ8qShJXWL2SXMWmdSNr4TEhBMXaul9t2oMBwOzjBlCeRbGhTk9_LzWW0N_7Ep3Zx-rVujz_SSsQ,CmRaAAAA-ixWYH2rcaiRGc5ZeBGjCy7Wub9AAYgWDaiJOHUaMF4NskXlzE45VffZebPHO9h7isSLbOTw-5mcMOUKLHA3SK9ZmLsoQE5Dofq9acmPydAui7EAKoVwmoWKDkf-ubmkEhCOqPpRegE1km1DZ7AzTvstGhQ8qtVW6J2vWAlmnnqGyQWyRxN2IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
