,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
10,91356F,Tullow Community School,http://www.tullowcommunityschool.ie/,The Mullawn,Tullow,Co. Carlow,,Carlow,R93DT20,599151473.0,info@tullowcs.ie,MR. PAUL THORNTON,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,332,299,631,CmRaAAAA8DHxnPQdOJyof7wnK3Vxy9dh37CXZJ38yEGwUX6lOMVMRfjUpFuhLL7aVN-MLdB8PQ-xU5QTHP6bdWAHYZS48XIxt1DFFirPVE-Tt8532RV_gyi4PCgsfSK12ziQle-hEhCgdr257TMl20B7w1TTNLPQGhTDswRS4elXzNmAdKGjuX5TbeOshg,,,,,,,,,,,,,,,,,,,
11,61051L,St Clare's College,http://www.saintclarescollege.com/,Ballyjamesduff,Co. Cavan,,,Cavan,A82NT92,498544551.0,stclaresbjd@gmail.com,MS. TERESA DONNELLAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,337,294,631,CmRaAAAAMEW5ndBc00h46j1UfEuGb4cW030KMANDLQJ6U6tda_JWEp597zlFPJQ2XB8qUKn2QYFmu6SxXnqdOh7auqO7g4bPXyWHq9UUBqYD0VZQnei0olGQMJO9_J231r4dWaUqEhDjSV7j55i2LonIdjMPaE9ZGhRMqZ4jN7MxcwjXOa1oGo0IuiMcng,CmRaAAAAG7l7rOzQlAMY_aSkMdvqrIs_LK_7Vccs3ZOF-76fnzpc51mqBCBn_hwJpawHzeD26EaxvAIBBgti0aMLzRRqFSJiNlgk7rgx0fPPMtya38vMmunn-dK0lljW6MpL6d1IEhC-V4KtwMojcZAP2ff6nBKSGhRdFegs-L8mOlp_qXtU3m_PUmU20A,,,,,,,,,,,,,,,,,,
12,61060M,St Patrick's College,https://www.stpatscavan.ie/,Cavan,Co. Cavan,,,Cavan,H12K827,494361888.0,info@stpatscavan.ie,MR. CHRISTOPHER ROWLEY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,690,690,,,,,,,,,,,,,,,,,,,,
13,61070P,Loreto College,http://loretocavan.scoilnet.ie/blog/,Cavan,Co. Cavan,,,Cavan,H12WV60,494332881.0,office@loretocavan.ie,MS. MARY ANGELA MC GARVEY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,687,,687,CmRaAAAAoSosA2FAgFLMuBKJ4fdNfCufpPACAgygeNDi3MRxCgfBgm0_15t0YR1Ll8TvFdF0ZjWH9XVs8C-XQ65H2ogHBkYmfLrzROmHC0QYP-IvO6KT4XTnEl1CxsOWR-WM7D8PEhCjGhuBi9TbpFKwgf3eKtf7GhRZ3B7xWyAtP66PymvlyirkBl5K0A,,,,,,,,,,,,,,,,,,,
14,61080S,Royal School Cavan,http://www.royalschoolcavan.ie/,College Street,Cavan,Co. Cavan,,Cavan,H12AY10,494361605.0,info@royalschoolcavan.ie,MR. EDWARD LINDSAY,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,99,119,218,,,,,,,,,,,,,,,,,,,,
15,70350W,St Bricin's College,https://www.stbricinscollege.ie/,Belturbet,Co Cavan,,,Cavan,H14P896,499522170.0,info@stbricinscollege.ie,Mary Sheridan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,103,118,221,,,,,,,,,,,,,,,,,,,,
16,70360C,St. Mogue's College,http://www.stmoguescollege.ie/ http://www.stmoguescollege.ie/,Bawnboy,Belturbet,Co Cavan,,Cavan,H14VW13,499523112.0,info@stmoguescollege.ie,Ann Conaghan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,104,121,225,,,,,,,,,,,,,,,,,,,,
17,70380I,Breifne College,https://www.breifnecollege.ie/,Cootehill Rd,Cavan,Co Cavan,,Cavan,H12H798,494331735.0,info@breifnecollege.ie,Mr John Crotty,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,330,346,676,,,,,,,,,,,,,,,,,,,,
18,70390L,Virginia College,https://www.virginiacollege.ie/,Virginia,Co Cavan,,,Cavan,A82X224,498547050.0,anndoughty@virginiacollege.ie,Karen Fitzpatrick,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,268,365,633,CmRaAAAA9B-cVF5DA5WeGr69uhspD3CAiym-CSQNe0jZnHyyJ7HN4uW9yD93AcP9OwtXJQ5Dc1TvO_mDQM2OfWuNp-HDShm-QzGqipBp5JjZU_O3fBgn8fjNQRy5at9xyuhESlf3EhCGf6XTEPNeYXlkdXzw7EVBGhRu0F-8JdZOBn7lkM0H2gnU6_cbFQ,,,,,,,,,,,,,,,,,,,
19,76313A,Dún na Rí College,https://www.dunanricollege.ie/index.php,Main Street,Kingscourt,Co Cavan,,Cavan,,,info@dunanricollege.ie,MR. FERGAL BOYLE,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,83,81,164,,,,,,,,,,,,,,,,,,,,
20,81005Q,St Aidans Comprehensive School,http://www.staidans.ie/,Cootehill,Co Cavan,,,Cavan,H16CV91,495552161.0,office@staidans.ie,MISS MARY ANN SMITH,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,255,259,514,,,,,,,,,,,,,,,,,,,,
21,91351S,Bailieborough Community School,http://www.bailieborocs.ie/,Bailieborough,Co Cavan,,,Cavan,A82P585,429665295.0,info@bailieborocs.ie,MRS. MARTHA LIEVENS,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,311,318,629,,,,,,,,,,,,,,,,,,,,
22,61910K,Rice College,http://ricecollege.ie/,New Road,Ennis,Co Clare,,Clare,V95FV10,656822105.0,admin@ricecollege.ie,MR. LOUIS MULQUEEN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,253,410,663,,,,,,,,,,,,,,,,,,,,
23,61920N,St Flannan's College,https://www.stflannanscollege.ie/,Ennis,Co Clare,,,Clare,V95Y102,656828019.0,ignstius.mccormack@stflannanscollege.ie,REV. IGNATIUS MC CORMACK,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,379,802,"1,181",CmRaAAAAdAVlrqIUJILi0FqHMTfsTJYwnHSFLmQ96KK6Za9eR_8B0flni3xoy84aqi2SzxcMOOVSldwFr3rbtG_4oli-lhJDbIWHLVFIC_lrXb4oMWdAsKw-dvdKrSApDITRZaVgEhB1QaHbYVrecNByz-76suWrGhTmWOpag-EPKvqdS0qMZeWrvj_yRA,,,,,,,,,,,,,,,,,,,
24,61930Q,Coláiste Mhuire,https://www.colaistemuire.ie/,College Road,Ennis,Co Clare,,Clare,V95X683,656829497.0,admin@colaistemuire.ie,MISS JEAN A POUND,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,956,,956,,,,,,,,,,,,,,,,,,,,
25,61940T,Meánscoil Na mBráithre,https://cbsennistymon.com/,Ennistymon,Co. Clare,,,Clare,V95W880,657071349.0,principal@cbsennistymon.com,Mary Lyons,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,221,221,,,,,,,,,,,,,,,,,,,,
26,61950W,Scoil Mhuire,http://scoil-mhuire.ie/,Ennistymon,Co Clare,,,Clare,V95AK18,657071224.0,admin@scoil-mhuire.ie,MRS. JOSEPHINE DONNELLAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,244,,244,CmRaAAAAv4WbdYy7Ks4ubMiN5VeJJVGQ6hMFjf0N00pK1jagNe3RqhrbtI6J65zFXenQNy3a-SriTc-A3ZTVepMJGu0qhYyGdNjY4Z1t9nHxBIL1TXMvXU4q95zLJtXS1eLXm2FHEhAP-GVyJJtrJj-WNggSpKpAGhTqSzmaL8-G8rauYSB-VGKLuSPX4w,CmRaAAAATGxpUciTkwMflqIM0P8PgclWkBcKwtQ5hFv31xkO7vPpXO-S-dWAJLV7TYwGc2zE66n9sZ_N_DZ9CFmG_1Mnw3lEAJ7fRuJ2oq7igfhljZ0Rq1xqOz22XUfgmCTV3TnsEhDga6jqCVFVqIo-gnQuXvLfGhR0R3jFN2MLgG8F5LGFhhtDkHe71A,CmRaAAAAEKMwk1DqWGlj_0FGw674uSPQSfnwBSpIFmMP1C20J3JxVFHLKrAjI4OgVk6qjRIOHSFV_rPwctezdbt7ibnJ6syz3WvI1sw9dMTBeJJRVVBGL6e-s9LkvZDLeQMLjhzvEhACF1yJarasbJfrQuuVjQ5VGhSuxUMuD7lgYnO9SVW0MwpQNdkqmw,,,,,,,,,,,,,,,,,
27,62000W,Mary Immaculate Secondary School,https://www.maryimmaculate.ie/,Lisdoonvarna,Co Clare,,,Clare,V95R2AW,657074266.0,info@maryimmaculate.ie,MR. JOHN O'LOUGHLIN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,113,99,212,CmRaAAAA_jF3h83cfrDosTJi9QDOWV9-TD4LDNqy_WbAoEJjogFcfJ9n7XL77XY87X_VxK4nk-pg25_TXG2JLLVi1w7P4XRmu3nthIO6mmzi-HSIdHtk07HZHHbeQnEQvqK010jAEhBTsR-iHW2RlFLtDo6yHW26GhTSM7SxzCsxlPlB7HaH-xRQiA19_A,,,,,,,,,,,,,,,,,,,
28,62010C,St. Joseph's Secondary School,http://www.stjosephsspanishpoint.com/,Spanish Point,Miltown Malbay,Co Clare,,Clare,V95NW01,657084311.0,admin@stjosephsspanishpoint.com,MS. MARY CRAWFORD,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,137,158,295,,,,,,,,,,,,,,,,,,,,
29,62020F,St. Joseph's Secondary School,https://www.sjt.ie/newwebsite/,Tulla,Co. Clare,,,Clare,V95A248,656835113.0,admin@sjt.ie,MS. JULIET COMAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,263,286,549,CmRaAAAAyYl-5RSkWk5Ro0dxBEjp7tiTJlIxZwm48fne6X3dCNTimY6C7ZUsRnG18Yk8QgLvgXjmHT9LeBxtg_nFG5YPc2nqdYxWsbAAaSgIm6zOFV3YsQpVYBXFwRN3-ND7qBapEhB0qrUPoSuU6j_4R6lzAVfOGhQ4JQzV6qcOQ29SWlSjhFxHeP0pwA,CmRaAAAA7RAhcu6NtBt0yTyHRq7_2ms38UBctQrYlM2rmA8mh8yxNZQ2pEtVCY1uvrLHY2L0tT17R09u1UyMk5Ok2ajFggqdx_v06u04by0yxbOXlUJpSZY_z8ywrHPw-Iv4uApUEhDyBCfaSaSyIk2G7IoAfp_5GhRXdxPfXp-n7t_xqpe9Zr8R3lA5pw,CmRaAAAAn9FSrjQKHJMuBY-OEnja1aLIFgyjAj1__qfv4zwR6aDG5yq2xMFw7RC9QAN3MTt-0g2zU_9ukX0pykzAuFt112JZHJhkltbiKaKHschSJ7-UDsL8OaM49lJQ11U-PjXeEhAWKoTOgxOA5pxKaeix65KpGhQpC92sm2ZdI6B95w9Ua82W9_WFkA,CmRaAAAAg-5qbYNMLRWP9s7Qly0kqZRvvgXBNbnK4LKrExD-K-V3FoJd4PS9Q99GZTVhczpYt_in4HWu3z8Jk75rNeX2EhsIlEyIrNS9eYZKRYjK4mGtT1tUkG3e6Vxx3SPtxFK5EhAQ_jwRBOUGG8WeIL8reVwmGhR7uqsCJjtoiRYml1ELxaYCTi8OCA,CmRaAAAAMk9M46BH1VduNAM18N2QsEohN-EUd1sdt_JWbtkVUh8-VnFhKqH9jkqXbVL7KXIeQP1KHNKdLp6zcNJFnxZtiksSmWevNSU1Bw8K2RicqRB51TM02RmaNBs-UBSfaz1LEhB_CIwcGtWZK6Wbax8aRXpyGhRHqibRw04VYDUGPhH18pR076RUfQ,CmRZAAAAoJM2XUU8F0qBt657-KqHEsT44IxnrwQjrvuHBaMPXVdri1UkHTOV0ZQlfIZCCyInJgvvoOtGIBxzRO6vJXJOfadKsyIr7JYcTQ7a4KxPC78kenzzoFovk_QJ2dW2IdVfEhDRaT62eEpszJvvmmy06k4oGhSaVvG3Wue53KJHsxIdZNZwGEhP5w,CmRaAAAAKY70uiFyLW6E0aiF--8fOUABNHybJpu2YMK5b7uF_F-V3TFH2MABKz0neVfl4aJYnl_WpqPgz1PeZq636dSQvPTrSuqzSv-aopI4F8F7ISeSi9f8QmJKFOmviZ41IteKEhB7mkowmOnsqMPCezxpC6_WGhSzunJGgOedXWe51432qnl0Sl_4FA,CmRaAAAAp_OvdPrlcRJRf9_upoqAh75DQ_snPwNNTe1GBaQMaR6cZg7Z0fKZ_eblwvh9-BwOwCVEdKHx9bM4XxoYUmPkXxFEIO9UZ1XiqoeThggMSEIWP4_1qS88GPc6_TgskoAOEhAKaZ1wNNpkoaYAlh0EHiShGhQEspizssCqFLjYXA3urdcvXPmrbQ,CmRaAAAAdDNHgW0pmkCaBBnF26oF7n5qODp4Gr62OarD9YzL4kx8_O_7jtoC4IdHYDAbYc8JFnP-gIQ0tkMrfhjPUPDpoAPCDMOaIHxFKl4gUEy5_ZC3aHizu18XZcYjnJdx5LZSEhAUmYaN2ZhtSGmQc6pDAPy3GhT4KjAIeebpQp2HylmYUKn_BZ0AYw,CmRaAAAALSPaFXKf9ZJpfyiJtjXoJXjHRngS0WzgwDL6TZUc5x9-hlwv_jZ7WGg1hN7AXo2trJrMs5Qcj9XQwD9HoRd5DzelsdTI7y16wHgWnDV1qyC4NYRq8W70RdWTG-RWqlWLEhBD_fmQf6THnbEmAlRBSUA9GhS7glCFtbBpPzQSF-v3UD5WZzl-4w,,,,,,,,,,
30,70830N,Ennis Community College,http://enniscommunitycollege.com/,Ennis,Co Clare,,,Clare,V95XD66,656829432.0,info@enniscc.ie,Brian O Sullivan,Y,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,182,212,394,CmRaAAAAxOjZFDTNLvdVS9_bWcIMqhOK-c8ZQO3QXVQlzM-We_726PAUM36dGANQW3H1fFEiEMT5PX95GhTOaAeKv8uBWqT-pQADAFsv4e2fRWWob-uZrJ1dnSyhH905oChrgFa2EhCdoDyM5l9VR85YSN7o3d5TGhSO8Llb_PXxeXAcxP8FS5D_5zQBPw,CmRaAAAAay5z70MP4y8FJSMKofxkgqZnrqDHcjUDhn_D2oJxuojn-JGPWW1FccHI1XSprGacUfO_UqALtYKVCsQKjt3w7Tjqky-UFxkxwFTWuT7WJE0fiTFSUXa3w5k6z_iYLrKjEhB6lIAwSBhMxaSzEfUbntGxGhRHmrmXRS9szkXtpnfYoFNuDkWIMA,CmRaAAAAEpv0aC3u3RZBSoW52MYoJy45u9gmTUW0Hx9RQQmImBQuLmhF7VSQ_4n2OvOIS_16kyXMvmYoLWf3SqXSDPK4w4brK-t-B06KEaohcVmCJ3BjV29x2uDFrDZz58SMuhLQEhAJZl9JNmtyw2Nknsvqx2UDGhTywjmfTbWGGJ5jP7DkdaweHB0KEg,,,,,,,,,,,,,,,,,
31,70840Q,Ennistymon Vocational School,http://www.ennistymonvs.com ,Ennistymon,Ennis,Co Clare,,Clare,V95P991,657071375.0,envoc.ias@tinet.ie,Elizabeth Flanagan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,89,149,238,,,,,,,,,,,,,,,,,,,,
32,70860W,St Michael's Community College,,Kilmihill,Co Clare,,,Clare,V15TD30,659050021.0,stmichaels@kilmihilcc.com,Ms Helena Keane,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,133,85,218,CmRaAAAATKe92yTD4uqZ3Cds6MnjWaTfOoEVb5Nt7hi4WE6TbS4FH4iicS6R5pEV7F7bABAnIj0hFJEBS4XPD8bhgiDWeymqz2uBWtxud780VotmebyW-Ep_ThX1kZZvplbcfPpWEhAOtXmT-FDfzTrGVlGvxiAqGhSQz8mRbMW2FsyNha7tUWU45-muaQ,CmRaAAAAAjA6qXgmMyIWE_LfNbvUYzXbN9Q2L8uY9p5AYMH_sGJVnGePRBswu3_975TawfzIEqCPyB73S0ie6YAYwBsiGrFEGiwu7DzB6XOzYMo2QpAN1MzYsjnEcT79MboRBJLPEhD_vNU2gCTXHPvuufHoPpZ7GhSZM8nMunRqcWHcPUxcYv6QXzXHLw,CmRaAAAA2SftZKqG-WTipKr_-KOyk1X2z2mzTT0Q0bBmcsGtkNjyXx3mc8N-rIjI8V9lTroA728KdqgIKdn6SzUn5dq7egJfI0AZQFdsS7MOknJ0ORb_i8etnSDtrFi8BZfhmt0bEhCph4W0fxkbQeULy_daT8ggGhQpLXRVh2sPm3ZI8gDESQgfbmzBtw,CmRaAAAA4RrNNOL6rygJL8ASApYS1OL79811EBswT4vAKY8IqOiA2arnckNHGLoZnEkysOywVh72H-P7yPrivY4VC0U7MTOEcB3sRHoGTpFJaH_wb6PVamIW47AVIzbtLjQTFAGsEhDZ1w7QhXYWvUZ-DqxTncqQGhTFWQcyiHLjYBwX2n7JK0-9b-sLDA,,,,,,,,,,,,,,,,
33,70880F,St Joseph's Community College,,Carrigholt Rd.,Kilkee,Co. Clare,,Clare,V15EK83,659056446.0,kkeecomcoll.ias@eircom.net,Ms Theresa O'Donnellan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,63,65,128,CmRaAAAAsysES4FriaGwFlOg2xRlvWSt7aqZzX3_lqLp_9pdTIAPlw2mFGwEVM_ENqrSkeAnr0fXHggFG8l2Q2x0PgwL8e1n2ph2uu4KCKTPEjN22NpHnlMOJbtzKRla5tAimn5JEhBsOt3kHHPDSLJRI9dSMMWKGhR8dKKtGujHUfPaNVSDI_5zD4rh9Q,CmRaAAAA0ECn9dWZBezhHyEH8byMejpdV9DWp8M3BaWdw0DTFYJabB1LbbvZBDfliHWlBS88OSkC_26Aq7r4Q37I8Q5TKyrs6NX2KEpz8nyX4YhUZr4yb5l06oFvfcyrIVpI_p5CEhD7HKjRlIhwg1JmCGpvkLtpGhTansogGud5bU6nfcFU3jKy5bhwJw,,,,,,,,,,,,,,,,,,
